name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;50;50;50;0;5;6;6;6;705.6;1161;511;1161 596 697 511 563;290.4 296.4 299.4 303.8 705.2 705.2;527 529 534 545 1161 1161;189 201 204 207 511 511;120.4368714306379 118.21945694343212 119.18993246075779 122.43430891706785 235.87488208794085 235.87488208794085;235.66043367523534;"[[527,529,534,545,1161,1161],[240,242,244,246,595,595],[189,201,204,207,697,697],[256,267,270,273,511,511],[240,243,245,248,562,562]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;49;49;49;0;5;4;4;4;310.4;423;252;335 252 423 285 257;146 169.2 170 170;179 206 206 206;118 133 133 133;26.06913884270058 26.31653472628948 25.65151067676132 25.65151067676132;63.547147851024754;"[[179,206,206,206],[118,146,150,150],[176,182,182,182],[131,133,133,133],[126,179,179,179]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;42;42;42;0;5;1;1;1;279;405;201;405 240 286 263 201;122.6;170;94;26.043041297052845;68.9724582713999;"[[170],[128],[94],[112],[109]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;29;29;29;0;5;14;14;14;226.4;297;179;297 206 179 205 245;163.4 186.2 187.8 189 190 190.2 190.6 190.8 190.8 190.8 191.2 191.2 191.4 191.8;200 220 222 223 225 226 227 227 227 227 228 228 229 230;112 166 167 168 169 169 170 170 170 170 170 170 170 171;28.66077458827657 21.2452347598232 21.235818797494012 21.438283513378586 21.614809737770074 21.939917957914062 22.07804339156892 22.21170862405682 22.21170862405682 22.21170862405682 22.37319825147938 22.37319825147938 22.70330372434814 22.85082055419455;41.112528504094705;"[[112,220,222,223,225,226,227,227,227,227,228,228,229,230],[200,202,203,205,205,205,205,206,206,206,206,206,206,206],[174,175,176,178,179,179,179,179,179,179,179,179,179,179],[164,166,167,168,169,169,170,170,170,170,170,170,170,171],[167,168,171,171,172,172,172,172,172,172,173,173,173,173]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;44;44;44;0;5;8;8;8;571;627;503;627 503 564 627 534;206.6 209.4 217.6 220.2 223.2 226 229.6 233.4;223 225 227 231 234 236 241 245;196 197 208 210 214 217 219 225;12.2245654319489 12.403225386970922 8.284926070883193 8.749857141690942 8.541662601625049 8.12403840463596 9.024411338142782 8.2365041127896;49.62660576747114;"[[220,224,227,229,232,235,241,245],[196,200,217,220,222,224,228,231],[196,197,209,211,214,217,219,225],[198,201,208,210,214,218,221,225],[223,225,227,231,234,236,239,241]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;50;50;50;0;5;66;66;66;893.4;1187;626;626 1126 786 742 1187;235 238.8 243.6 244.6 245.2 245.2 245.6 246 246 246.2 246.8 247 247 247 247 247 247.6 247.6 250 251 260.8 265.8 269.8 306 311.2 313.8 314.4 314.6 314.8 314.8 315 315 315 315 315 315.2 315.2 315.2 315.2 315.4 315.6 316.8 316.8 316.8 340.8 488.2 491.8 495.2 525.6 662.6 666.2 668.4 670.8 673 673 673.4 673.4 674 674 674 677.8 680 682.6 684.8 890.8 892.4;262 264 266 266 267 267 267 267 267 268 268 268 268 268 268 268 269 269 269 269 293 296 304 474 490 492 493 494 494 494 494 494 494 494 494 495 495 495 495 495 495 495 495 495 495 1133 1151 1157 1166 1182 1183 1183 1184 1184 1184 1184 1184 1184 1184 1184 1184 1184 1184 1186 1186 1186;188 195 213 216 217 217 218 219 219 219 220 220 220 220 220 220 221 221 221 226 226 244 244 244 244 244 245 245 245 245 245 245 245 245 245 245 245 245 245 246 246 246 246 246 246 246 246 257 270 270 270 270 270 270 270 270 270 272 272 272 282 283 288 291 626 626;24.915858403835898 23.523605165875406 17.839282496782207 16.776173580408614 16.821414922651424 16.821414922651424 16.620469307453384 16.2234398325386 16.2234398325386 16.4851448279959 16.28987415543779 16.2234398325386 16.2234398325386 16.2234398325386 16.2234398325386 16.2234398325386 16.094719630984567 16.094719630984567 17.064583206161235 15.401298646542765 23.58304475677388 19.56936381183609 22.103393404633596 85.313539370958 90.74447641592297 90.55031750358472 90.74932506636068 91.14296462152194 91.04152898540315 91.04152898540315 90.94393877548958 90.94393877548958 90.94393877548958 90.94393877548958 90.94393877548958 91.33761547139274 91.33761547139274 91.33761547139274 91.33761547139274 91.18464783065185 91.14296462152194 90.57019377256515 90.57019377256515 90.57019377256515 92.45842308843474 334.25822353384217 341.2080890014186 341.9698232300622 329.9736959213567 387.5113417695022 391.3839036036102 393.76114587399303 396.43178480036136 398.8749177373779 398.8749177373779 398.6971783195863 398.6971783195863 398.10400651086144 398.10400651086144 398.10400651086144 394.39442186724705 393.719697246658 391.49947637257446 390.47427572120546 221.62165959129538 221.13398653305197;221.92935813001398;"[[244,252,255,255,256,256,257,257,257,257,258,258,258,258,258,258,258,258,264,264,293,296,304,474,490,492,493,494,494,494,494,494,494,494,494,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,497,497,497,497,497,497,503,506,508,626,626],[237,238,239,240,240,240,240,241,241,241,241,242,242,242,242,242,243,243,243,243,243,244,244,244,244,244,245,245,245,245,245,245,245,245,245,245,245,245,245,246,246,246,246,246,246,246,246,257,400,1069,1086,1097,1108,1119,1119,1119,1119,1119,1119,1119,1119,1121,1121,1121,1122,1123],[244,245,245,246,246,246,246,246,246,246,247,247,247,247,247,247,247,247,253,253,273,275,283,288,292,295,296,296,296,296,296,296,296,296,296,296,296,296,296,296,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,298,298,298,307,309,314,318,778,785],[188,195,213,216,217,217,218,219,219,219,220,220,220,220,220,220,221,221,221,226,226,245,249,254,260,268,268,268,269,269,269,269,269,269,269,269,269,269,269,269,269,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,272,272,272,282,283,288,291,742,742],[262,264,266,266,267,267,267,267,267,268,268,268,268,268,268,268,269,269,269,269,269,269,269,270,270,270,270,270,270,270,271,271,271,271,271,271,271,271,271,271,271,276,276,276,396,1133,1151,1157,1166,1182,1183,1183,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1186,1186,1186]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;49;49;49;0;5;46;46;46;340.4;440;254;254 303 349 356 440;130 135.8 136.2 136.2 322.8 326.8 327.6 328.4 328.8 329 329.2 329.2 329.6 330 330.2 330.6 330.8 330.8 330.8 330.8 332.6 333.6 334 336.8 337.2 338.2 338.8 339 339.4 339.4 339.4 339.4 339.4 339.4 339.6 339.6 339.6 339.6 339.6 339.8 339.8 339.8 339.8 339.8 339.8 340;151 162 164 164 427 428 428 429 429 429 429 429 429 431 431 431 431 431 431 431 435 436 437 439 439 439 439 439 439 439 439 439 439 439 439 439 439 439 439 440 440 440 440 440 440 440;104 104 104 104 241 242 242 242 243 243 243 243 243 243 244 244 245 245 245 245 249 250 250 252 252 253 253 253 253 253 253 253 253 253 253 253 253 253 253 253 253 253 253 253 253 253;16.112107248898266 20.94182418033348 21.451340284467076 21.451340284467076 62.942513454739 62.33265596779909 62.00193545366145 62.278728310716176 62.056103648231094 62.080592780675026 61.956113499799194 61.956113499799194 62.03740806964778 62.680140395503265 62.40320504589488 62.156576482299926 61.87859080489795 61.87859080489795 61.87859080489795 61.87859080489795 62.11473255194777 61.80161810179406 62.01290188339843 62.09798708492893 61.85919495111458 61.55127943430583 61.66814412644506 61.7122354156775 61.808090085360185 61.808090085360185 61.808090085360185 61.808090085360185 61.808090085360185 61.808090085360185 61.837205628973884 61.837205628973884 61.837205628973884 61.837205628973884 61.837205628973884 62.15915057334679 62.15915057334679 62.15915057334679 62.15915057334679 62.15915057334679 62.15915057334679 62.038697600771734;61.808090085360185;"[[104,104,104,104,241,242,242,242,243,243,243,243,243,243,244,244,245,245,245,245,249,250,250,252,252,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253],[136,136,136,136,278,286,289,290,290,290,291,291,291,291,291,293,293,293,293,293,293,296,297,299,301,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,303],[121,123,123,123,333,335,335,336,336,337,337,337,338,338,338,338,338,338,338,338,339,339,339,345,345,348,348,348,348,348,348,348,348,348,349,349,349,349,349,349,349,349,349,349,349,349],[151,154,154,154,335,343,344,345,346,346,346,346,347,347,347,347,347,347,347,347,347,347,347,349,349,349,352,353,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355],[138,162,164,164,427,428,428,429,429,429,429,429,429,431,431,431,431,431,431,431,435,436,437,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,440,440,440,440,440,440,440]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;42;42;42;0;5;32;32;32;319.2;372;250;250 347 294 372 333;112.6 309.4 311 312.4 313.6 314 314.2 315 315.2 315.6 315.6 316.2 316.2 316.2 316.2 316.4 316.4 316.4 316.6 317 317.2 317.2 317.6 317.6 318 318.2 318.8 318.8 318.8 318.8 318.8 318.8;148 361 362 365 366 368 368 369 369 369 369 370 370 370 370 370 370 370 370 370 370 370 370 370 371 371 372 372 372 372 372 372;81 238 241 242 244 244 244 245 246 247 247 248 248 248 248 248 248 248 248 248 248 248 249 249 249 249 250 250 250 250 250 250;26.82237871628838 43.45388360089349 43.21110968258048 43.68798461819909 43.44467746456406 43.93176527297759 44.0744824132967 43.93176527297759 43.61375929680907 43.352508577935836 43.352508577935836 43.342358034606285 43.342358034606285 43.342358034606285 43.342358034606285 43.21388665695322 43.21388665695322 43.21388665695322 43.08874563038474 42.8485705712571 42.73359334294274 42.73359334294274 42.46692830897945 42.46692830897945 42.77382377108691 42.90640977756121 42.892423573400464 42.892423573400464 42.892423573400464 42.892423573400464 42.892423573400464 42.892423573400464;42.83643309147016;"[[81,238,241,242,244,244,244,245,246,247,247,248,248,248,248,248,248,248,248,248,248,248,249,249,249,249,250,250,250,250,250,250],[82,341,344,345,345,345,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,347,347,347,347,347,347,347],[131,286,286,287,287,287,287,288,288,288,288,288,288,288,288,289,289,289,290,292,293,293,293,293,293,293,293,293,293,293,293,293],[121,361,362,365,366,368,368,369,369,369,369,370,370,370,370,370,370,370,370,370,370,370,370,370,371,371,372,372,372,372,372,372],[148,321,322,323,326,326,326,327,327,328,328,329,329,329,329,329,329,329,329,329,329,329,330,330,331,331,332,332,332,332,332,332]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;29;29;29;0;5;198;198;198;404.8;458;339;458 339 373 447 407;166.6 293.4 295.6 297.2 298.4 299.2 299.6 299.8 300 300.2 300.4 300.4 300.6 300.8 300.8 300.8 300.8 300.8 300.8 300.8 301.4 301.6 301.6 301.6 301.6 301.6 302.2 302.2 303.2 304 305.6 309.4 313.8 316.2 317.6 320 320.2 320.4 320.6 320.6 320.6 321.2 321.2 321.6 321.8 321.8 321.8 321.8 321.8 321.8 321.8 321.8 321.8 322 322 322 322 322.4 322.4 322.4 322.4 322.4 322.8 323.2 323.2 323.2 323.2 324.6 326 326.4 335.8 338.4 339.6 342.6 344.2 345 360.6 363.4 364.2 365.8 375.4 375.6 376.4 377.2 379.2 379.4 379.6 379.6 379.8 379.8 379.8 380 380 380 380 380.2 380.4 380.8 380.8 380.8 380.8 380.8 380.8 380.8 381 381.8 382 382.8 383.2 383.8 385.6 385.8 386.2 387.6 387.6 387.8 387.8 387.8 388.4 388.4 388.4 388.6 388.6 388.6 388.8 388.8 388.8 388.8 388.8 389.4 389.4 389.4 389.6 389.8 390.8 391.2 391.4 392.6 392.8 392.8 392.8 393 393.6 394.4 395.2 395.4 396.6 396.8 396.8 397 397.8 398 398.8 399.8 400 400.2 400.4 400.4 400.4 400.4 400.4 400.4 400.6 400.6 400.6 400.6 400.8 400.8 400.8 401 401 401 401 401.2 401.2 401.2 402 402.2 402.4 403 403 403.2 403.2 403.4 403.4 403.4 403.6 403.6 403.6 403.6 403.6 404 404 404.2 404.2 404.2 404.4 404.4;254 361 367 369 372 373 374 375 375 376 376 376 377 377 377 377 377 377 377 377 378 378 378 378 378 378 378 378 378 378 378 379 379 379 379 379 379 379 379 379 379 379 379 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380 381 381 381 381 381 381 381 381 381 385 387 392 396 400 400 400 406 432 433 437 440 450 451 451 451 452 452 452 452 452 452 452 452 452 452 452 452 452 452 452 452 452 452 452 452 452 452 453 453 453 453 453 453 453 453 453 453 453 454 454 454 454 454 454 454 454 454 454 454 454 455 455 455 455 455 455 455 455 455 455 455 455 455 455 455 455 455 455 455 455 455 455 456 456 456 456 456 456 456 456 456 456 456 456 456 456 456 456 456 456 456 456 456 456 457 457 457 457 457 457 457 457 457 457 457 457 457 457 457 457 457 457 457 457 457;122 234 237 238 240 240 241 241 241 241 242 242 242 242 242 242 242 242 242 242 242 242 242 242 242 242 245 245 245 245 251 255 266 267 268 269 269 269 269 269 269 269 269 270 270 270 270 270 270 270 270 270 270 270 270 270 270 270 270 270 270 270 272 272 272 272 272 272 279 281 284 293 294 294 295 295 295 296 296 296 296 296 296 296 296 296 296 296 296 296 296 296 296 296 296 296 296 298 298 298 298 298 298 298 298 302 303 306 308 311 312 312 313 313 313 313 313 313 313 313 313 313 313 313 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 317 321 323 324 330 331 331 332 332 332 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 334 334 334 336 336 336 336 336 337 337 338 338 338 338 338 338 338 338 338 338 338 338 338 339 339;48.05663325702291 45.68413291286155 46.983401324297496 47.249973544966146 47.8020920044301 48.04747652062489 48.11070566932063 48.420656748953746 48.54688455503607 48.85652464103438 48.615223952996445 48.615223952996445 48.92688422534179 49.05262480234875 49.05262480234875 49.05262480234875 49.05262480234875 49.05262480234875 49.05262480234875 49.05262480234875 49.31368978285847 49.14305647800104 49.14305647800104 49.14305647800104 49.14305647800104 49.14305647800104 48.42478704134898 48.42478704134898 48.33797678844244 47.803765542057455 46.34047906528373 43.610090575462 40.03198721022977 38.23820079449346 37.21612553719154 35.93883693165375 35.863072930244 35.79161913074065 35.724501396100685 35.724501396100685 35.724501396100685 35.54940224532615 35.54940224532615 35.584266186054755 35.64491548594273 35.64491548594273 35.64491548594273 35.64491548594273 35.64491548594273 35.64491548594273 35.64491548594273 35.64491548594273 35.64491548594273 35.60337062695048 35.60337062695048 35.60337062695048 35.60337062695048 35.499859154650174 35.499859154650174 35.499859154650174 35.499859154650174 35.499859154650174 34.91360766234278 35.1988636180204 35.1988636180204 35.1988636180204 35.1988636180204 35.69649842771697 33.68679266418814 33.13366867704209 38.17538473938409 36.119800663901785 36.75105440664254 35.92547842409339 37.0642685075532 38.1156135986291 40.613298314714605 41.66341320631329 42.27718060609057 43.655011167104284 52.07533005176251 52.29378548164208 53.18872060879073 54.0274004556947 56.446080466229006 56.69779537160153 56.831681305412744 56.831681305412744 57.083798051636336 57.083798051636336 57.083798051636336 57.21887800367987 57.21887800367987 57.21887800367987 57.21887800367987 57.055762198046224 57.126526237817046 56.53812872743491 56.53812872743491 56.53812872743491 56.53812872743491 56.53812872743491 56.53812872743491 56.53812872743491 56.37375275782161 55.20652135391253 54.91812087098393 54.13095232858923 53.566407383732574 52.73101554114049 51.77103437251375 51.6 51.144501170702604 50.02639303407752 50.02639303407752 49.87744981452039 49.87744981452039 49.87744981452039 49.85017552627072 49.85017552627072 49.85017552627072 50.110278386774105 50.110278386774105 50.110278386774105 49.80923609131142 49.80923609131142 49.80923609131142 49.80923609131142 49.80923609131142 50.1980079286021 50.1980079286021 50.1980079286021 50.25773572297105 50.514948282661834 51.20703076726867 51.50300962079789 51.65500943761408 52.62166854063068 52.79166600894501 52.79166600894501 52.79166600894501 52.96413881108613 52.07533005176251 50.910116872778836 50.00159997440082 49.7135796337379 48.01916284151568 47.74264341236249 47.74264341236249 47.467883879524265 46.76494413553811 46.59613717895508 46.01043359934788 45.225656435258074 45.077710678338576 45.32284192325102 45.17787068908848 45.17787068908848 45.17787068908848 45.17787068908848 45.17787068908848 45.17787068908848 45.350192943360234 45.350192943360234 45.350192943360234 45.350192943360234 45.207963900180246 45.207963900180246 45.207963900180246 45.382816131218654 45.382816131218654 45.382816131218654 45.382816131218654 45.083921746006084 45.083921746006084 45.083921746006084 44.85086398275957 45.09279321576786 45.27515875179236 45.838848153067715 45.838848153067715 45.547338012226355 45.547338012226355 45.257485568687976 45.257485568687976 45.257485568687976 45.27074110283594 45.27074110283594 45.27074110283594 45.27074110283594 45.27074110283594 44.97110183217663 44.97110183217663 44.82588537887456 44.82588537887456 44.82588537887456 44.53133728061622 44.53133728061622;44.624656861425834;"[[122,361,367,369,372,373,374,375,375,376,376,376,377,377,377,377,377,377,377,377,378,378,378,378,378,378,378,378,378,378,378,379,379,379,379,379,379,379,379,379,379,379,379,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,381,381,381,381,381,381,381,381,381,381,381,382,382,394,394,394,394,432,433,437,440,450,451,451,451,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,453,453,453,453,453,453,453,453,453,453,453,454,454,454,454,454,454,454,454,454,454,454,454,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457],[128,234,237,238,240,240,241,241,241,241,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,245,245,245,245,251,255,266,267,268,269,269,269,269,269,269,269,269,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,272,272,272,272,272,272,279,281,284,293,294,294,295,295,295,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,298,298,298,298,298,298,298,298,302,303,306,308,311,312,312,313,313,313,313,313,313,313,313,313,313,313,313,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,317,321,323,324,330,331,331,332,332,332,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,334,334,334,336,336,336,336,336,337,337,338,338,338,338,338,338,338,338,338,338,338,338,338,339,339],[150,292,292,293,293,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,296,296,296,296,296,296,296,296,301,302,304,306,312,313,313,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,315,315,315,315,315,315,315,315,315,315,316,316,316,316,316,316,316,321,323,324,331,332,332,332,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,334,334,334,334,334,334,334,334,334,335,335,335,335,335,335,341,342,343,350,350,351,351,351,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,354,354,354,354,354,354,358,359,361,366,367,367,368,368,368,368,368,368,368,368,368,368,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,371,371,372,372,372,372,372],[179,256,256,258,258,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,260,260,260,260,260,260,260,260,263,263,275,280,290,296,306,307,308,309,309,309,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,320,320,320,382,394,398,406,416,416,416,417,417,417,418,418,418,418,418,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,423,423,423,423,423,428,430,431,437,438,438,438,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,440,440,440,440,440,440,440,441,441,441,441,441,441,441,443,443,444,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447],[254,324,326,328,329,330,330,330,331,331,331,331,331,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,340,340,340,379,381,385,387,392,396,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,401,401,401,401,401,401,401,401,401,401,401,402,402,402,402,402,402,402,402,402,402,402,404,404,404,404,404,404,404,404,404,404,404,404,404,404,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,407,407,407,407,407,407,407,407,407,407,407,407]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;44;44;44;0;5;98;98;98;773;1124;612;1124 612 706 704 719;231.2 234.4 240.2 242 242.6 242.8 243.4 243.8 243.8 243.8 243.8 243.8 243.8 243.8 244.2 244.2 244.2 244.6 244.6 245.2 245.4 249.4 250.4 254 264.6 272 277 281 286.4 289.6 290.4 291 291.2 291.4 291.4 291.6 291.6 291.6 291.6 291.8 291.8 292 292.2 292.2 292.2 292.2 292.2 292.4 292.6 292.6 292.6 292.6 292.6 292.6 292.6 292.6 292.6 292.6 292.8 292.8 292.8 292.8 293 293 293 296 296.4 296.4 449 455.6 460 461.2 470.4 476 480.6 486 528.6 535.6 538.2 541.8 587.2 590.6 591.6 595.6 634 638.8 641 644.2 644.2 644.6 644.8 645.2 645.6 645.6 647 648.6 651.4 653.6;276 283 304 309 309 310 310 311 311 311 311 311 311 311 311 311 311 312 312 312 312 312 312 313 313 336 340 346 351 367 369 369 370 370 370 371 371 371 371 371 371 371 371 371 371 371 371 372 372 372 372 372 372 372 372 372 372 372 372 372 372 372 372 372 372 372 373 373 1007 1040 1058 1064 1092 1117 1121 1122 1123 1123 1123 1123 1123 1123 1123 1123 1123 1123 1123 1124 1124 1124 1124 1124 1124 1124 1124 1124 1124 1124;199 199 200 200 200 200 201 201 201 201 201 201 201 201 201 201 201 201 201 204 204 212 215 215 225 225 226 226 226 226 226 228 228 228 228 228 228 228 228 228 228 228 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 244 244 244 259 259 259 259 259 259 267 289 304 304 304 304 304 304 304 304 304 304 304 304 304 304 304 305 305 305 311 314 317 323;32.05869616812262 34.38371707654657 40.1018702805742 42.02856171700383 41.65861255490874 41.978089522988064 41.5143348736313 41.73439828247198 41.73439828247198 41.73439828247198 41.73439828247198 41.73439828247198 41.73439828247198 41.73439828247198 41.47963355672275 41.47963355672275 41.47963355672275 41.94091081509794 41.94091081509794 41.32989232988637 41.229115925520404 37.850231174987556 37.00054053659216 38.178527996768025 39.7421690399505 46.39396512478751 46.72472578838746 48.480924083602204 50.066355968853976 54.41543898564083 54.74888126710901 54.468339427597755 54.75545634911648 54.639180081695955 54.639180081695955 54.92758869639191 54.92758869639191 54.92758869639191 54.92758869639191 54.80291963025328 54.80291963025328 54.98727125435486 54.75545634911648 54.75545634911648 54.75545634911648 54.75545634911648 54.75545634911648 55.04398241406593 54.92758869639191 54.92758869639191 54.92758869639191 54.92758869639191 54.92758869639191 54.92758869639191 54.92758869639191 54.92758869639191 54.92758869639191 54.92758869639191 54.80291963025328 54.80291963025328 54.80291963025328 54.80291963025328 54.98727125435486 54.98727125435486 54.98727125435486 51.72620225765661 51.8867998627782 51.8867998627782 282.5717607971469 295.61231368128085 302.21383158287114 304.588509303946 313.45979008478906 323.02445727839245 322.47207631049235 319.58410473613986 302.49667766770597 301.37922954311233 300.70676746624775 299.9249239393085 288.4561665140823 288.7224272549675 288.8311617537138 285.91369327123874 268.62985686628355 267.94282972305865 267.74614843168143 267.9361117878663 267.9361117878663 267.76975183915005 267.7628801757256 267.5020747583091 267.4745595379119 267.4745595379119 265.93909077080036 264.8362512950219 263.8731513435954 262.15613668194;179.6040088639449;"[[216,217,218,219,221,221,222,223,223,223,223,223,223,223,224,224,224,224,224,224,225,225,225,225,225,225,226,226,226,226,226,228,228,228,228,228,228,228,228,228,228,228,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,244,244,244,1007,1040,1058,1064,1092,1117,1121,1122,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124],[199,199,200,200,200,200,201,201,201,201,201,201,201,201,201,201,201,201,201,204,204,224,226,232,238,244,253,255,256,256,257,257,257,257,257,257,257,257,257,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,267,289,479,511,519,531,532,532,532,532,532,532,532,532,532,534,534,534,534,534,534,538,539,541],[276,283,304,309,309,310,310,311,311,311,311,311,311,311,311,311,311,312,312,312,312,312,312,313,313,336,340,346,351,367,369,369,370,370,370,371,371,371,371,371,371,371,371,371,371,371,371,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,373,373,373,373,373,373,373,373,373,373,373,373,373,374,374,374,374,394,586,610,620,635,635,635,636,637,637,637,637,638,640,642],[202,205,209,209,210,210,211,211,211,211,211,211,211,211,212,212,212,212,212,212,212,212,215,215,234,235,240,246,258,258,259,259,259,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,262,262,262,262,266,266,284,287,292,296,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,305,305,305,311,314,317,323],[263,268,270,273,273,273,273,273,273,273,273,273,273,273,273,273,273,274,274,274,274,274,274,285,313,320,326,332,341,341,341,342,342,342,342,342,342,342,342,342,342,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,344,344,344,344,344,344,344,344,344,344,344,344,350,350,364,367,372,377,603,620,625,625,625,625,626,626,626,626,626,626,628,628,629,629,637,638]]"
