name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;3;6;6;6;1465;2082;1020;2082 1293 1020;455.6666666666667 500.3333333333333 525.6666666666666 536 860 865;719 751 786 805 1164 1168;298 307 339 344 623 630;187.41101592192732 185.74055980198713 189.77589122143223 195.92005172178438 225.88640212873963 224.8392018013466;450.29545856026573;"[[719,751,786,805,1164,1168],[350,443,452,459,793,797],[298,307,339,344,623,630]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;3;4;4;4;958;1112;823;1112 939 823;104.66666666666667 105 105 105;140 140 140 140;54 55 55 55;36.745370078721784 36.2859017617954 36.2859017617954 36.2859017617954;118.74622801026847;"[[120,120,120,120],[140,140,140,140],[54,55,55,55]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;3;1;1;1;660.3333333333334;843;546;546 592 843;95.66666666666667;112;82;12.39175353029407;130.52288007174153;"[[112],[93],[82]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;3;14;14;14;560.3333333333334;630;498;553 630 498;121.33333333333333 136.66666666666666 139 140 140.66666666666666 140.66666666666666 140.66666666666666 140.66666666666666 141 141 141 141 141.66666666666666 141.66666666666666;147 147 149 151 153 153 153 153 153 153 153 153 154 154;106 125 129 130 130 130 130 130 130 130 130 130 130 130;18.263503375736967 9.030811456096044 8.16496580927726 8.602325267042627 9.463379711052259 9.463379711052259 9.463379711052259 9.463379711052259 9.41629792788369 9.41629792788369 9.41629792788369 9.41629792788369 9.809292646374773 9.809292646374773;54.137684554189136;"[[147,147,149,151,153,153,153,153,153,153,153,153,154,154],[111,138,139,139,139,139,139,139,140,140,140,140,141,141],[106,125,129,130,130,130,130,130,130,130,130,130,130,130]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;3;8;8;8;1149.6666666666667;1290;896;1290 896 1263;311.3333333333333 313.6666666666667 314.3333333333333 314.3333333333333 354 383.6666666666667 409.6666666666667 422.6666666666667;366 367 368 368 389 419 435 442;254 256 256 256 325 336 390 411;45.7626728046147 45.419036635411906 45.84272631023983 45.84272631023983 26.47010892812243 34.988887124660344 18.803073034893938 13.767917618708921;179.7077875020693;"[[314,318,319,319,348,419,435,442],[254,256,256,256,325,336,390,415],[366,367,368,368,389,396,404,411]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;3;66;66;66;798.3333333333334;898;704;898 793 704;197 210.33333333333334 214.33333333333334 218.33333333333334 222.66666666666666 225.66666666666666 227.66666666666666 227.66666666666666 228.33333333333334 228.66666666666666 228.66666666666666 229.66666666666666 230.33333333333334 230.33333333333334 231 231 233 243 246.33333333333334 247 253 270 293.3333333333333 319.3333333333333 336.6666666666667 343 348.3333333333333 353.6666666666667 366.3333333333333 384.3333333333333 384.6666666666667 384.6666666666667 384.6666666666667 385.3333333333333 385.3333333333333 385.3333333333333 385.6666666666667 385.6666666666667 386 386 386 386 387 387 387 387 387 387 387.3333333333333 387.6666666666667 387.6666666666667 387.6666666666667 387.6666666666667 387.6666666666667 387.6666666666667 387.6666666666667 387.6666666666667 388.6666666666667 388.6666666666667 388.6666666666667 410.6666666666667 420 433 442.3333333333333 798 798.3333333333334;219 220 225 226 227 228 234 234 235 235 235 238 238 238 238 238 239 255 265 267 268 301 360 396 437 438 438 438 438 438 438 438 438 439 439 439 439 439 440 440 440 440 443 443 443 443 443 443 443 443 443 443 443 443 443 443 443 445 445 445 458 460 471 475 898 898;183 193 198 208 220 221 221 221 221 222 222 222 222 222 222 222 227 235 235 235 239 239 247 259 266 283 299 308 309 309 309 309 309 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 311 311 311 311 311 311 311 311 312 312 312 340 362 373 391 703 704;15.748015748023622 12.283683848458853 11.728408057172787 7.586537784494028 3.0912061651652345 3.299831645537222 5.312459150169742 5.312459150169742 5.734883511361751 5.312459150169742 5.312459150169742 6.548960901462833 6.548960901462833 6.548960901462833 6.683312551921141 6.683312551921141 4.898979485566356 8.640987597877148 13.299958228840003 14.236104336041748 11.86029791643813 25.311394008759507 48.32068800098865 57.11003025349887 72.89413937728845 67.94605703546503 63.51027913303134 59.70110737852542 53.63042254375983 54.847262668452494 54.980804731186765 54.980804731186765 54.980804731186765 54.847262668452494 54.847262668452494 54.847262668452494 54.980804731186765 54.980804731186765 55.3052137385497 55.3052137385497 55.3052137385497 55.3052137385497 56.290911048469155 56.290911048469155 56.290911048469155 56.290911048469155 56.290911048469155 56.290911048469155 56.417097487276756 55.96030339048883 55.96030339048883 55.96030339048883 55.96030339048883 55.96030339048883 55.96030339048883 55.96030339048883 55.96030339048883 56.16839759944099 56.16839759944099 56.16839759944099 50.92041721047549 41.98412398355677 42.926293418680665 36.745370078721784 79.68688725254614 79.28990407920095;79.28990407920095;"[[183,193,198,208,220,228,234,234,235,235,235,238,238,238,238,238,239,239,239,239,239,239,247,259,266,283,299,315,352,406,407,407,407,407,407,407,408,408,408,408,408,408,408,408,408,408,408,408,409,409,409,409,409,409,409,409,409,409,409,409,434,438,455,461,898,898],[219,220,220,221,221,221,221,221,221,222,222,222,222,222,222,222,227,255,265,267,268,270,273,303,307,308,308,308,309,309,309,309,309,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,311,311,311,311,311,311,311,311,312,312,312,340,362,373,391,793,793],[189,218,225,226,227,228,228,228,229,229,229,229,231,231,233,233,233,235,235,235,252,301,360,396,437,438,438,438,438,438,438,438,438,439,439,439,439,439,440,440,440,440,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,445,445,445,458,460,471,475,703,704]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;3;46;46;46;915.6666666666666;944;898;944 905 898;92 97.66666666666667 99.66666666666667 100 193.66666666666666 218 218.33333333333334 252 252.33333333333334 253 264.6666666666667 286 307.3333333333333 328.6666666666667 351.3333333333333 374.3333333333333 395 417 441.3333333333333 442 464 483.3333333333333 506.3333333333333 529 530 552.3333333333334 552.6666666666666 574.6666666666666 604 605.3333333333334 607.3333333333334 608 608.6666666666666 617 641 642 665 689 689.6666666666666 691.6666666666666 710.6666666666666 711.6666666666666 713 726 749 778;101 114 117 118 301 327 328 378 378 379 379 397 421 446 471 495 516 542 567 568 595 614 638 663 664 691 691 714 747 749 750 751 751 758 784 785 812 835 836 838 865 866 867 875 903 944;87 88 90 90 134 159 159 183 183 184 200 224 246 265 286 307 327 349 373 374 392 411 435 455 456 477 477 499 526 527 529 529 530 541 564 565 585 613 614 617 626 627 628 647 666 688;6.377042156569663 11.61416759345623 12.283683848458853 12.754084313139327 76.05407433019103 77.1621668954417 77.63303993074656 89.23003978481687 89.01810053142127 89.23003978481687 81.07746638589266 78.66807908336561 80.45840885547983 83.06757623900087 84.73619192660372 85.5154307063286 85.77878525602937 88.50235401765688 88.97315450304222 89.18893802858439 92.78290072349897 92.57189398276107 93.21063363276865 94.92453142716411 94.92453142716411 98.17444790892498 97.96030942285871 98.64526794980532 101.25545252808199 101.72621207054857 101.04234535854536 101.3015300970326 100.83099170834772 99.80313956317539 101.21594077350991 101.21594077350991 104.08009736095882 103.26664514740469 103.493424375121 103.48054030696893 109.30182472808443 109.30182472808443 109.09017676521871 105.4229576515476 109.00458705944443 117.51879282338918;20.23747898221405;"[[101,114,117,118,301,327,328,378,378,379,379,397,421,446,471,495,516,542,567,568,595,614,638,663,664,691,691,714,747,749,750,751,751,758,784,785,812,835,836,838,865,866,867,875,903,944],[88,91,92,92,146,168,168,195,196,196,215,237,255,275,297,321,342,360,384,384,405,425,446,469,470,489,490,511,539,540,543,544,545,552,575,576,598,619,619,620,641,642,644,656,678,702],[87,88,90,90,134,159,159,183,183,184,200,224,246,265,286,307,327,349,373,374,392,411,435,455,456,477,477,499,526,527,529,529,530,541,564,565,585,613,614,617,626,627,628,647,666,688]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;3;32;32;32;599;655;561;655 561 581;88.66666666666667 130.66666666666666 142.66666666666666 156.33333333333334 172.66666666666666 172.66666666666666 196.66666666666666 197 198 198 205.66666666666666 214.33333333333334 229.66666666666666 243.33333333333334 257.3333333333333 269.6666666666667 284.3333333333333 299.6666666666667 311.3333333333333 327.3333333333333 339.3333333333333 353 368 381.6666666666667 396 409 425.3333333333333 439.6666666666667 440.3333333333333 453.6666666666667 465 481.6666666666667;92 136 146 165 182 182 207 207 207 207 213 229 246 260 278 292 309 325 340 358 372 389 405 421 438 452 469 486 486 503 517 534;85 123 136 149 168 168 191 191 193 193 200 207 219 233 245 258 271 287 296 307 321 334 349 360 372 386 402 416 417 427 437 455;2.8674417556808756 5.557777333511022 4.714045207910316 6.599663291074443 6.599663291074443 6.599663291074443 7.318166133366716 7.118052168020874 6.377042156569663 6.377042156569663 5.436502143433363 10.370899457402697 11.728408057172787 11.897712198383164 14.70449666674185 15.797327481430381 17.46106780494506 17.9133717900592 20.28683207293725 22.065558884580486 23.156472577277878 25.468935326524086 26.166135875720485 27.860764925289153 29.79932885150268 30.430248109405877 30.90127649287144 32.76515764582181 32.293790252754306 34.92213560989012 36.8057966449127 37.007506746004324;40.431011200150145;"[[92,133,146,165,182,182,207,207,207,207,213,229,246,260,278,292,309,325,340,358,372,389,405,421,438,452,469,486,486,503,517,534],[85,123,136,149,168,168,191,191,194,194,204,207,224,237,245,258,271,287,296,307,321,334,349,360,372,386,402,416,417,427,437,456],[89,136,146,155,168,168,192,193,193,193,200,207,219,233,249,259,273,287,298,317,325,336,350,364,378,389,405,417,418,431,441,455]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;3;198;198;198;904.6666666666666;1125;713;1125 876 713;240 242 244 245 245.33333333333334 246 246.33333333333334 246.33333333333334 246.66666666666666 246.66666666666666 246.66666666666666 246.66666666666666 246.66666666666666 246.66666666666666 247.33333333333334 247.66666666666666 247.66666666666666 250 250 250.33333333333334 250.33333333333334 251.66666666666666 252.33333333333334 255 255.33333333333334 255.66666666666666 256 257 257.3333333333333 260.3333333333333 261 262 263 265.6666666666667 267.3333333333333 267.3333333333333 267.6666666666667 267.6666666666667 267.6666666666667 268 268 268 268 268 268 269.3333333333333 269.3333333333333 269.3333333333333 272.6666666666667 273 274.6666666666667 276 278.3333333333333 278.6666666666667 281 281.6666666666667 281.6666666666667 285.6666666666667 286.6666666666667 288.6666666666667 290.3333333333333 292.6666666666667 293 293.3333333333333 293.3333333333333 293.3333333333333 295 295.3333333333333 295.3333333333333 295.3333333333333 298.6666666666667 299.3333333333333 301.3333333333333 304.3333333333333 306.3333333333333 306.3333333333333 306.6666666666667 306.6666666666667 307 307.3333333333333 307.3333333333333 307.3333333333333 307.3333333333333 307.6666666666667 307.6666666666667 307.6666666666667 307.6666666666667 307.6666666666667 307.6666666666667 307.6666666666667 308.3333333333333 308.3333333333333 308.6666666666667 308.6666666666667 309.6666666666667 309.6666666666667 315.3333333333333 316.6666666666667 318 320.3333333333333 326.6666666666667 327 327 327.3333333333333 327.3333333333333 330.3333333333333 330.6666666666667 330.6666666666667 330.6666666666667 343.6666666666667 344.6666666666667 347 350 355.3333333333333 355.6666666666667 356 360 360.6666666666667 364 366.6666666666667 369 369.6666666666667 369.6666666666667 370 370 370 370.3333333333333 370.6666666666667 371 371 371 371.3333333333333 371.3333333333333 371.3333333333333 371.3333333333333 371.3333333333333 371.3333333333333 371.6666666666667 372.3333333333333 372.3333333333333 372.3333333333333 372.3333333333333 372.3333333333333 372.6666666666667 372.6666666666667 372.6666666666667 372.6666666666667 372.6666666666667 374 374 374 374 378.3333333333333 379.6666666666667 381.3333333333333 382.3333333333333 385.6666666666667 385.6666666666667 385.6666666666667 385.6666666666667 385.6666666666667 385.6666666666667 388 388 388.3333333333333 394.6666666666667 396.3333333333333 397.3333333333333 399.3333333333333 403 403.6666666666667 407.6666666666667 408.3333333333333 409 409.6666666666667 411 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.3333333333333 411.6666666666667 411.6666666666667 411.6666666666667 412.3333333333333 414 415.6666666666667 417.3333333333333;267 268 269 269 269 270 270 270 270 270 270 270 270 270 270 271 271 273 273 274 274 275 277 280 281 281 282 283 284 285 285 285 285 285 286 286 286 286 286 286 286 286 286 286 286 287 287 287 296 297 302 306 313 314 315 316 316 316 317 317 318 325 326 327 327 327 328 329 329 329 329 329 330 330 330 330 330 330 330 330 330 330 330 331 331 331 331 331 331 331 332 332 332 332 332 332 339 343 347 354 372 373 373 374 374 374 375 375 375 381 384 391 397 413 414 415 416 416 416 416 416 417 417 417 417 417 417 417 417 417 417 418 418 418 418 418 418 419 419 419 419 419 419 420 420 420 420 420 420 420 420 420 420 420 420 421 421 421 421 421 421 421 428 428 428 447 452 455 460 471 471 471 471 471 471 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 473 475 476 477;197 199 202 204 204 205 205 205 206 206 206 206 206 206 206 206 206 206 206 206 206 206 206 207 207 207 207 209 209 216 218 221 224 232 233 233 234 234 234 235 235 235 235 235 235 235 235 235 235 235 235 235 235 235 235 236 236 236 236 236 236 236 236 236 236 236 240 240 240 240 250 252 257 266 272 272 273 273 273 274 274 274 274 274 274 274 274 274 274 274 275 275 275 275 275 275 275 275 275 275 275 275 275 275 275 275 275 275 275 275 275 275 278 278 278 278 289 291 301 309 316 317 317 318 318 318 318 318 319 319 319 319 319 319 319 319 319 319 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 321 322 322 322 322 322 322 324 336 338 340 342 345 346 346 346 346 346 346 346 346 346 346 346 346 346 346 346 346 346 346 347 348 351 352;30.735430152621365 30.62678566222711 29.87752778706208 29.13188402192118 29.32954520994525 29.13188402192118 29.32954520994525 29.32954520994525 28.859814429217813 28.859814429217813 28.859814429217813 28.859814429217813 28.859814429217813 28.859814429217813 29.272664533466866 29.53340857778225 29.53340857778225 31.123410267299864 31.123410267299864 31.372316175606514 31.372316175606514 32.293790252754306 32.78549814916481 33.95094500402996 34.19876540981495 34.4222150491349 34.66987164671943 33.980386499665755 34.23773097362356 31.414787742222433 30.474032661705056 29.06314963431642 27.65260686927485 23.893281249943232 24.30820620467271 24.30820620467271 23.83741223837483 23.83741223837483 23.83741223837483 23.366642891095847 23.366642891095847 23.366642891095847 23.366642891095847 23.366642891095847 23.366642891095847 24.280765135299085 24.280765135299085 24.280765135299085 26.88659310676771 27.17842281418601 28.709270666845967 30.011109054259666 32.42769735204082 32.78549814916481 33.7441352929167 33.62869145371091 33.62869145371091 35.405586502069916 36.058594290712755 37.27674282385138 38.421637422450154 40.202266381663385 40.47221268969612 40.74582459862878 40.74582459862878 40.74582459862878 39.14928692411481 39.432079439066975 39.432079439066975 39.432079439066975 34.75949110994323 33.82635395992631 31.794478905761125 27.620443314488796 24.850665092821068 24.850665092821068 24.390344173235622 24.390344173235622 24.535688292770594 24.073960113690383 24.073960113690383 24.073960113690383 24.073960113690383 24.390344173235622 24.390344173235622 24.390344173235622 24.390344173235622 24.390344173235622 24.390344173235622 24.390344173235622 24.25329301810833 24.25329301810833 24.390344173235622 24.390344173235622 24.850665092821068 24.850665092821068 28.662790435607548 29.80305726300948 31.016124838541646 33.289971796657056 39.852505846210256 40.2326567189723 40.2326567189723 40.61472092179824 40.61472092179824 41.24991582482994 41.60395280365664 41.60395280365664 41.60395280365664 48.61641240934542 49.398605468395786 51.329004146453755 51.697840058039816 56.84090858606053 57.18002759316889 57.52101065407897 52.92132525425517 52.02777036246017 47.588514020367 44.078213313255894 41.04469108991645 40.99864496405812 40.99864496405812 40.570925550201586 40.570925550201586 40.570925550201586 40.61472092179824 40.663934334438856 40.2326567189723 40.2326567189723 40.2326567189723 40.61472092179824 40.61472092179824 40.61472092179824 40.61472092179824 40.61472092179824 40.61472092179824 40.99864496405812 40.14418457953226 40.14418457953226 40.14418457953226 40.14418457953226 40.14418457953226 40.5325657822064 40.5325657822064 40.5325657822064 40.5325657822064 40.5325657822064 40.718546143004666 40.718546143004666 40.718546143004666 40.718546143004666 41.90730511763101 42.444735310230826 43.22293629801453 43.8583578757294 45.791799362865056 45.791799362865056 45.791799362865056 45.791799362865056 45.791799362865056 45.791799362865056 47.672493816315786 47.672493816315786 47.204048790566915 53.01781671182707 54.68901982015119 55.71554740126155 57.55770051773167 61.51964455900787 60.642852468824024 55.42763049438631 54.56698228375431 53.70909296075169 52.85409686633152 51.96793883411836 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.545018080207214 51.57734213995737 51.57734213995737 51.57734213995737 51.545018080207214 51.96793883411836 51.12294548982439 51.188106257432715;169.4153344758247;"[[267,268,269,269,269,270,270,270,270,270,270,270,270,270,270,271,271,271,271,271,271,274,274,280,281,281,282,283,284,285,285,285,285,285,286,286,286,286,286,286,286,286,286,286,286,286,286,286,287,287,287,287,287,287,293,293,293,305,307,313,318,325,326,327,327,327,328,329,329,329,329,329,330,330,330,330,330,330,330,330,330,330,330,331,331,331,331,331,331,331,332,332,332,332,332,332,332,332,332,332,333,333,333,333,333,342,342,342,342,381,384,391,397,413,414,415,416,416,416,416,416,417,417,417,417,417,417,417,417,417,417,418,418,418,418,418,418,419,419,419,419,419,419,420,420,420,420,420,420,420,420,420,420,420,420,421,421,421,421,421,421,421,428,428,428,447,452,455,460,471,471,471,471,471,471,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,473,475,476,477],[256,259,261,262,263,263,264,264,264,264,264,264,264,264,266,266,266,273,273,274,274,275,277,278,278,279,279,279,279,280,280,280,280,280,283,283,283,283,283,283,283,283,283,283,283,287,287,287,296,297,302,306,313,314,315,316,316,316,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,318,318,318,318,318,318,318,318,318,318,318,318,318,318,319,319,322,322,339,343,347,354,372,373,373,374,374,374,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,376,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,381,381,381,381,394,398,403,405,415,415,415,415,415,415,415,415,415,415,415,415,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,417,417,417,417,419,420,423],[197,199,202,204,204,205,205,205,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,207,207,207,207,209,209,216,218,221,224,232,233,233,234,234,234,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,236,236,236,236,236,236,236,236,236,236,236,240,240,240,240,250,252,257,266,272,272,273,273,273,274,274,274,274,274,274,274,274,274,274,274,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,278,278,278,278,289,291,301,309,316,317,317,318,318,318,318,318,319,319,319,319,319,319,319,319,319,319,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,322,322,322,322,322,322,324,336,338,340,342,345,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,347,348,351,352]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;3;98;98;98;875.6666666666666;924;798;924 798 905;162.33333333333334 173 216.33333333333334 217 217.33333333333334 217.66666666666666 218.33333333333334 219 219 219 219 219 220.33333333333334 220.33333333333334 220.33333333333334 221.66666666666666 222 222 222.66666666666666 223.33333333333334 223.33333333333334 223.33333333333334 224 224 227.33333333333334 235.33333333333334 235.66666666666666 241 269.3333333333333 287 312.3333333333333 321.3333333333333 354 355 356.6666666666667 357.6666666666667 359 359 359.6666666666667 359.6666666666667 359.6666666666667 359.6666666666667 359.6666666666667 360 360 360 360 360 360 360 360.3333333333333 360.3333333333333 360.6666666666667 360.6666666666667 360.6666666666667 360.6666666666667 360.6666666666667 361 361 361.3333333333333 362 362 362 362.6666666666667 363 363 363 377.3333333333333 384.3333333333333 386.3333333333333 387.6666666666667 406.6666666666667 406.6666666666667 406.6666666666667 406.6666666666667 406.6666666666667 407 407.6666666666667 407.6666666666667 407.6666666666667 407.6666666666667 407.6666666666667 407.6666666666667 408 409.3333333333333 409.3333333333333 417.3333333333333 432 445.3333333333333 455.6666666666667 464.6666666666667 479 479.3333333333333 479.3333333333333 488.6666666666667 491.6666666666667 498.3333333333333 506;170 195 271 272 272 273 273 274 274 274 274 274 275 275 275 275 276 276 278 278 278 278 278 278 288 312 313 314 315 317 340 345 376 378 382 383 383 383 384 384 384 384 384 384 384 384 384 384 384 384 385 385 385 385 385 385 385 385 385 385 385 385 385 386 386 386 386 394 415 421 425 482 482 482 482 482 482 482 482 482 482 482 482 483 483 483 483 483 483 483 483 500 500 500 513 518 525 529;150 152 181 181 182 182 183 183 183 183 183 183 183 183 183 184 184 184 184 184 184 184 185 185 185 185 185 193 244 272 290 296 340 341 342 343 347 347 347 347 347 347 347 348 348 348 348 348 348 348 348 348 348 348 348 348 348 349 349 349 350 350 350 351 351 351 351 352 352 352 352 352 352 352 352 352 353 353 353 353 353 353 353 353 357 357 357 396 424 437 454 454 455 455 461 463 470 481;8.806563209081938 17.568911937472585 39.20317447463775 39.50527390952589 39.20317447463775 39.66806720216597 39.20317447463775 39.50527390952589 39.50527390952589 39.50527390952589 39.50527390952589 39.50527390952589 39.508086373410805 39.508086373410805 39.508086373410805 38.76711091748892 39.22584182228174 39.22584182228174 40.14418457953226 39.87759047663514 39.87759047663514 39.87759047663514 39.42080668885405 39.42080668885405 44.00252518006464 55.089825638577665 55.553777749332426 52.46586191674227 32.355662392986005 21.213203435596427 20.75786330258702 20.038851153585515 15.748015748023622 16.391054470858997 17.987650084309387 17.987650084309387 16.97056274847714 16.97056274847714 17.21110752456745 17.21110752456745 17.21110752456745 17.21110752456745 17.21110752456745 16.97056274847714 16.97056274847714 16.97056274847714 16.97056274847714 16.97056274847714 16.97056274847714 16.97056274847714 17.441967269268172 17.441967269268172 17.21110752456745 17.21110752456745 17.21110752456745 17.21110752456745 17.21110752456745 16.97056274847714 16.97056274847714 16.73983937265296 16.268579122549905 16.268579122549905 16.268579122549905 16.49915822768611 16.268579122549905 16.268579122549905 16.268579122549905 18.208667044996883 25.746628689770024 28.1701181317288 29.825417944356715 55.04745427558138 55.04745427558138 55.04745427558138 55.04745427558138 55.04745427558138 54.71745608121781 54.46915538989832 54.46915538989832 54.46915538989832 54.46915538989832 54.46915538989832 54.46915538989832 54.9241901776136 53.60555526767311 53.60555526767311 51.57734213995737 37.067505985701274 26.71246067953223 19.754043186705406 13.021349989749739 18.991226044325487 18.553226733434325 18.553226733434325 21.359359124801056 22.51419305435771 22.484562605386735 19.6468827043885;55.46370184383857;"[[167,195,271,272,272,273,273,274,274,274,274,274,275,275,275,275,276,276,278,278,278,278,278,278,288,312,313,314,315,317,340,345,346,346,346,347,347,347,347,347,347,347,347,348,348,348,348,348,348,348,348,348,348,348,348,348,348,349,349,350,350,350,350,351,351,351,351,394,415,421,425,482,482,482,482,482,482,482,482,482,482,482,482,483,483,483,483,483,483,483,483,483,483,483,492,494,500,508],[150,152,181,181,182,182,183,183,183,183,183,183,183,183,183,184,184,184,184,184,184,184,185,185,185,185,185,193,244,272,307,323,376,378,382,383,383,383,384,384,384,384,384,384,384,384,384,384,384,384,385,385,385,385,385,385,385,385,385,385,385,385,385,386,386,386,386,386,386,386,386,386,386,386,386,386,386,388,388,388,388,388,388,388,388,388,412,417,429,437,454,454,455,455,461,463,470,481],[170,172,197,198,198,198,199,200,200,200,200,200,203,203,203,206,206,206,206,208,208,208,209,209,209,209,209,216,249,272,290,296,340,341,342,343,347,347,348,348,348,348,348,348,348,348,348,348,348,348,348,348,349,349,349,349,349,349,349,349,351,351,351,351,352,352,352,352,352,352,352,352,352,352,352,352,353,353,353,353,353,353,353,353,357,357,357,396,424,447,457,500,500,500,513,518,525,529]]"
