name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;5;6;6;6;1167.4;2432;798;2432 927 872 798 808;367.6 414.4 448.8 461.2 765.8 801;757 827 919 929 1217 1219;161 207 222 226 577 678;208.05537724365598 213.58614187254753 242.1928157481142 242.63915594973537 229.25740991296223 209.52040473424063;634.0175391895717;"[[757,827,919,929,1217,1219],[364,369,377,411,695,699],[223,332,384,393,680,687],[333,337,342,347,660,722],[161,207,222,226,577,678]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;5;4;4;4;888.2;939;747;935 937 747 939 883;110.2 118.2 121.2 121.2;127 137 137 137;94 101 101 101;12.155657119218196 14.510685717773644 14.274452704044382 14.274452704044382;73.64346542633636;"[[127,137,137,137],[121,133,134,134],[107,115,126,126],[102,105,108,108],[94,101,101,101]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;5;1;1;1;577.8;697;506;697 506 567 542 577;93.4;108;72;12.338557452149743;64.44036002382357;"[[108],[89],[72],[97],[101]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;5;14;14;14;495.2;554;409;538 449 409 526 554;129.8 141.6 154.2 160 162 167.4 179.4 182 184.4 186 194.4 203.4 210.6 217.2;141 153 213 239 239 265 282 295 296 304 325 349 362 378;102 130 131 131 131 131 131 131 131 131 131 131 132 132;14.204224723651762 7.964923100695951 29.875742668593194 39.859754138729954 38.99743581314033 49.20812940968189 55.24708137087424 60.10657202003787 60.99704910895281 63.93746945258312 72.77801865948263 82.01853449068693 85.49760230556176 90.92722364616661;56.21885804603291;"[[141,153,213,239,239,265,282,295,296,304,325,349,362,378],[136,136,137,139,149,149,192,192,203,203,223,239,247,255],[102,130,131,131,131,131,131,131,131,131,131,131,132,132],[138,143,144,145,145,145,145,145,145,145,146,151,165,174],[132,146,146,146,146,147,147,147,147,147,147,147,147,147]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;5;8;8;8;906.6;1036;792;1036 908 792 892 905;311.4 318 318.6 318.8 350.2 367 376 382;373 376 376 376 419 427 435 445;257 286 287 287 320 325 333 338;39.82260664496989 33.84080377296024 33.684417762520404 33.49865668948533 35.779323638101374 36.90528417449187 37.52332607858744 39.11521443121589;77.58247224728018;"[[373,376,376,376,419,427,435,445],[257,286,287,288,320,325,333,338],[334,334,335,335,350,356,371,376],[307,307,308,308,328,338,342,347],[286,287,287,287,334,389,399,404]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;5;66;66;66;791.6;971;600;971 760 670 957 600;159.4 203 215.8 217.2 220.8 220.8 222.4 224.6 224.8 225.2 225.4 225.6 225.6 226 227 227.2 232.6 237.2 250 268.8 283.2 316.2 331.8 351.6 353.4 354.4 355.2 356 357.4 363.2 367.2 370.2 373.6 381.6 381.8 381.8 382.6 383.2 384 384.2 384.2 384.8 385 385 385 386.2 386.4 386.4 386.4 387.6 387.6 387.8 389.6 389.6 389.6 389.8 390.8 390.8 393 393.6 404.6 408.8 415.6 421.8 764.2 764.8;269 272 273 273 274 274 275 275 275 276 276 276 276 276 279 279 306 319 338 371 387 434 457 466 466 467 467 467 467 467 467 468 468 468 468 468 468 468 468 468 468 468 468 468 468 469 469 469 469 469 469 469 469 469 469 469 469 469 469 469 483 489 493 503 971 971;72 127 149 154 169 169 170 170 170 171 171 171 171 171 172 172 172 182 188 189 189 189 189 189 189 189 189 189 195 223 243 257 274 313 314 314 314 314 317 317 317 317 318 318 318 318 319 319 319 319 319 319 319 319 319 319 319 319 321 321 335 340 358 361 600 600;64.56190827415188 55.74585186361403 48.68839697504941 47.57057914299552 43.87892432592212 43.87892432592212 42.53281086408469 40.657594616504305 40.700859941775185 40.68119958899934 40.848990195597246 40.657594616504305 40.657594616504305 41.00243895184773 41.289223775702055 41.32505293402538 48.82458397160185 50.5545250200217 50.473755556724726 59.57314831364883 66.11021101161303 88.81531399482863 96.79958677597752 97.5553176408134 98.02979139016874 97.99101999673236 97.7474296337249 97.52948272189288 95.65270513686478 86.27490944648972 79.9109504385976 75.89835307831126 70.97210719712358 60.96097112087372 60.736809267527384 60.736809267527384 61.50642242888136 61.25814231594033 60.5078507302978 60.33705329231781 60.33705329231781 60.10790297456733 59.88321968631947 59.88321968631947 59.88321968631947 59.82440973382019 59.597315375778464 59.597315375778464 59.597315375778464 59.274277726514725 59.274277726514725 59.22972226846923 59.15268379372148 59.15268379372148 59.15268379372148 58.96236087539236 58.8808967323019 58.8808967323019 58.40890343089827 58.022754157313145 58.05032299651743 58.19759445200464 54.70868304026336 57.12232488265862 127.85366635337446 128.12088042157686;149.69114870292097;"[[269,272,273,273,274,274,275,275,275,276,276,276,276,276,279,279,306,319,338,371,387,434,457,466,466,467,467,467,467,467,467,468,468,468,468,468,468,468,468,468,468,468,468,468,468,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,483,489,493,503,971,971],[149,150,169,169,170,170,170,170,170,171,171,171,171,171,172,172,172,182,220,241,259,286,293,353,355,355,355,355,355,355,355,355,355,356,356,356,356,359,360,360,360,363,363,363,363,368,368,368,368,374,374,375,383,383,383,383,388,388,397,398,401,404,406,409,760,760],[72,127,149,154,169,169,176,186,186,186,186,187,187,187,188,188,188,188,188,189,189,189,189,189,189,189,189,189,195,223,243,257,274,313,314,314,314,314,317,317,317,317,318,318,318,318,319,319,319,319,319,319,319,319,319,319,319,319,321,321,335,340,358,364,670,670],[176,247,257,258,258,258,258,259,259,259,260,260,260,262,262,262,262,262,263,263,263,274,298,316,319,323,327,331,331,332,332,332,332,332,332,332,332,332,332,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,334,334,334,334,336,348,352,358,361,820,823],[131,219,231,232,233,233,233,233,234,234,234,234,234,234,234,235,235,235,241,280,318,398,422,434,438,438,438,438,439,439,439,439,439,439,439,439,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,444,444,444,444,444,444,444,444,456,459,463,472,600,600]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;5;46;46;46;797.8;905;653;782 764 905 885 653;91.2 94.4 96.6 98.2 139 158.4 158.4 179 179 179.8 198.8 214.6 231.8 250.6 269.2 289 307 325.4 344 344.4 361.2 381.2 397.8 418.8 419.6 436 436.2 452.4 477.6 478.6 479.6 480.2 480.4 488 508 508.6 524.6 545.6 546.6 548 564.8 565.8 567 582.2 600.6 618.4;104 115 124 132 151 173 173 195 195 196 217 241 259 280 301 326 344 366 387 387 407 436 449 471 472 494 494 513 544 546 548 549 549 556 583 584 597 622 623 626 654 655 657 670 698 702;72 74 74 74 115 133 133 154 154 155 177 191 208 222 236 254 266 280 292 293 306 318 331 344 345 358 358 371 387 387 387 388 388 394 403 404 417 432 433 433 444 445 446 456 470 489;10.759182125050211 13.230268326832983 16.19382598399773 18.977881862842334 13.16054710108968 14.691494137765567 14.691494137765567 15.466091943344964 15.466091943344964 15.587174214718972 15.078461459976612 20.22473732833136 22.33741256278354 24.67063031217484 26.46809400013533 29.024127893874777 30.750609750052114 33.93876839250358 36.58961601328989 36.52725010180756 39.10703261563066 44.19230702282921 44.83480790635775 47.97666099261181 47.98583124214897 50.821255395749525 51.0309709882146 53.342665850142886 58.475977973865476 59.013896668496656 59.815048273824864 59.944641128294364 59.87186317461651 60.08327554319921 65.91813104146688 66.0290845006956 67.11661493251876 70.80564949211326 71.05096762184172 71.73283766867166 75.7242365428665 75.7242365428665 75.92891412367229 77.4245439121213 81.7449692641694 78.35968351135678;91.05470882936258;"[[91,91,91,91,135,153,153,170,170,170,189,207,226,244,262,280,298,316,334,334,352,370,389,417,417,427,427,441,462,463,463,463,463,477,496,496,515,534,534,535,551,552,552,576,586,607],[72,74,74,74,115,133,133,154,154,155,177,191,209,228,248,265,286,302,323,323,337,356,374,393,394,412,412,428,456,457,458,458,459,463,484,484,499,520,521,523,538,539,541,553,572,596],[98,99,100,100,151,173,173,195,195,196,217,241,259,280,301,326,344,366,387,387,407,436,449,471,472,494,494,513,544,546,548,549,549,556,574,575,597,622,623,626,654,655,657,670,698,702],[91,93,94,94,146,172,172,194,194,195,214,236,257,279,299,320,341,363,384,385,404,426,446,469,470,489,490,509,539,540,542,543,543,550,583,584,595,620,622,623,637,638,639,656,677,698],[104,115,124,132,148,161,161,182,182,183,197,198,208,222,236,254,266,280,292,293,306,318,331,344,345,358,358,371,387,387,387,388,388,394,403,404,417,432,433,433,444,445,446,456,470,489]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;5;32;32;32;578.8;633;559;571 570 559 633 561;87 125.8 139.6 153.2 169.2 169.2 187.2 187.4 188.2 188.2 198.6 213.4 226.8 237.2 251.6 265.4 278.2 292.6 305.6 320 332.8 350.8 368.8 376.4 385.2 397 411.4 428.8 430 441.8 453.6 469.6;90 132 148 164 180 180 201 201 202 202 215 233 249 256 273 287 303 317 332 347 363 381 393 406 423 437 453 478 483 487 496 515;80 117 131 144 160 160 180 180 180 180 192 202 212 224 239 252 264 282 295 308 320 339 354 355 363 377 395 412 412 427 441 454;3.63318042491699 5.230678732248808 5.535341001239219 6.493073232299171 7.025667228100119 7.025667228100119 7.520638270785266 7.391887445030531 7.6000000000000005 7.6000000000000005 8.708616422830897 10.537551897855593 12.12270596855339 10.4 11.447270417003349 11.723480711802276 13.105723940324701 12.483589227461787 13.440238093129153 13.827508813954884 15.393505123915086 15.58717421471897 14.4138821973818 16.5843299533023 20.1037309970065 20.89976076418101 21.181123671797963 24.8145118831703 26.68332812825267 22.69273011340857 21.247117451550928 22.80877024304467;27.51290606242823;"[[89,124,138,151,165,165,180,180,180,180,192,208,224,234,246,260,273,286,299,313,325,350,371,371,377,385,399,414,415,432,444,460],[87,130,139,152,167,167,184,184,185,185,194,210,223,236,249,262,275,288,299,315,327,340,354,377,380,391,403,419,419,430,441,454],[90,126,142,155,174,174,189,189,190,190,200,214,226,236,251,266,276,290,303,317,329,344,372,373,383,395,407,421,421,433,445,459],[89,132,148,164,180,180,201,201,202,202,215,233,249,256,273,287,303,317,332,347,363,381,393,406,423,437,453,478,483,487,496,515],[80,117,131,144,160,160,182,183,184,184,192,202,212,224,239,252,264,282,295,308,320,339,354,355,363,377,395,412,412,427,442,460]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;5;198;198;198;754.6;1005;502;1005 915 502 838 513;203.6 204.2 207.2 208.4 209.4 209.8 210.2 210.2 210.6 210.8 210.8 210.8 210.8 210.8 211 211 211 211.2 211.2 211.2 211.4 211.4 213 215.8 217.4 219 224.8 226.2 229.2 235.8 244.2 247.6 251 256.4 259.4 259.8 259.8 260.2 260.4 260.4 260.4 260.4 260.4 260.4 260.8 260.8 260.8 260.8 261 261 261 261.2 261.4 261.4 262 262 262 264.2 265.8 266.8 268.2 270 270 270 271 274.2 275.2 276.6 278.4 279.8 280.4 281.2 281.4 283.6 285.6 287.8 290.8 295 298.8 300 301 303.8 303.8 304 304 304.2 304.4 304.4 305.6 305.6 305.8 306 306 306 306 306 306 306 306.2 306.2 306.4 307 307 307 309.4 310 313.2 315.2 316.8 317 317.2 317.2 317.2 317.4 320.8 322.2 323.6 326.2 329 329 329.2 329.8 331.4 332.4 334.4 335.6 337 337 338.8 340.2 341 345.6 349 351.4 353.8 356 356.4 356.4 356.4 356.4 356.4 356.6 356.8 356.8 356.8 356.8 356.8 356.8 356.8 356.8 356.8 357 357 357.2 357.2 357.2 357.2 360.6 363.2 363.6 364.2 365.2 365.4 365.6 365.6 365.6 365.6 366 366 366 366.2 369.4 370 370.2 372.4 373.2 373.6 374 374.6 374.8 375 375.2 375.2 376 376.2 376.4 376.8 377 377.6 378 378.2 378.4 378.8 378.8 379.6 383.8 387 388.2;238 238 239 239 240 240 240 240 240 240 240 240 240 240 241 241 241 241 241 241 241 241 241 241 241 244 244 244 253 254 256 262 270 283 291 291 291 292 292 292 292 292 292 292 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 294 294 294 294 294 294 295 295 295 301 301 305 306 306 306 306 307 309 312 317 322 334 334 335 335 336 336 336 336 336 336 337 337 337 337 337 337 337 337 337 337 337 337 337 337 337 337 337 340 340 341 341 341 341 342 342 342 351 365 365 366 366 366 367 367 367 367 367 367 367 367 367 367 367 377 387 388 388 388 388 388 389 389 389 389 389 389 389 389 389 389 389 389 389 389 389 389 389 389 389 389 389 389 390 390 390 390 390 390 390 390 390 390 390 392 394 394 394 394 394 395 395 395 395 395 395 395 395 395 395 396 397 399 399 401 403 411 413;184 186 196 197 197 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 199 199 199 199 199 201 201 201 201 210 215 222 225 231 238 238 238 239 239 239 239 239 239 239 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 243 243 243 243 251 252 261 265 278 279 279 280 280 280 280 280 280 280 280 280 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 281 282 282 282 282 282 282 282 282 282 282 282 291 294 298 311 324 325 325 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 327 328 328 328 328 331 332 333 335 336 337 337 337 337 337 337 337 338 339 340;18.445595680270127 17.93766985982293 16.28987415543779 15.576905982896603 15.576905982896603 15.341447128612085 15.157836257197133 15.157836257197133 14.987995196156156 14.931845163944072 14.931845163944072 14.931845163944072 14.931845163944072 14.931845163944072 15.323185047502363 15.323185047502363 15.323185047502363 15.223665787188054 15.223665787188054 15.223665787188054 15.054567413247051 15.054567413247051 14.601369798755183 14.783774890061062 15.869467539901898 16.84042754801671 16.749925372968086 17.38275007011261 20.04395170618808 15.367498169838838 15.471263684650973 14.513442045221389 16.235762994081924 18.714700104463336 19.438106903708498 19.507947098554478 19.507947098554478 19.610201426808448 19.734234213670415 19.734234213670415 19.734234213670415 19.734234213670415 19.734234213670415 19.734234213670415 19.84338680769994 19.84338680769994 19.84338680769994 19.84338680769994 19.788885769542457 19.788885769542457 19.788885769542457 19.610201426808448 19.734234213670415 19.734234213670415 19.235384061671343 19.235384061671343 19.235384061671343 17.98221343439122 17.71327186038762 17.679366504487653 18.33466661818534 19.421637418096342 19.421637418096342 19.421637418096342 19.099738218101315 18.48675201326615 18.882796403075474 19.50999743721152 20.362711017936686 21.59073875530895 20.489997559785117 21.339165869358624 21.564786110694442 21.462525480474103 18.521339044464362 18.925115587493778 16.4730082255792 17.017637908946117 13.70255450636851 14.477568856683085 15.735310610216755 19.093454375780198 19.093454375780198 19.411336893681487 19.411336893681487 19.73220717507294 19.561186058110074 19.561186058110074 20.105720578979504 20.105720578979504 19.85346317396539 20.159365069366643 20.159365069366643 20.159365069366643 20.159365069366643 20.159365069366643 20.159365069366643 20.159365069366643 20.173249614278806 20.173249614278806 20.283983829612957 19.76866206904251 19.76866206904251 19.76866206904251 18.358649187780674 18.18790807102345 18.605375567292374 19.933890739140715 21.479292353334174 21.400934559032695 21.618510586994656 21.618510586994656 21.618510586994656 21.804586673450153 21.70161284328886 22.148589119851405 22.93120145129775 24.595934623429134 27.84241368847177 27.84241368847177 28.102668912400475 27.888348821685373 27.56519544643208 27.789206537790893 28.118321429274545 28.583911558777256 29.366647748764244 29.366647748764244 26.026140705068048 25.055139193387056 23.588132609428836 19.116485032557634 14.818906842274163 15.957443404254956 18.269099594670777 20.746083967823903 21.058015101143795 21.058015101143795 21.058015101143795 21.058015101143795 21.058015101143795 21.359775279716782 21.460661685977907 21.460661685977907 21.460661685977907 21.460661685977907 21.460661685977907 21.460661685977907 21.460661685977907 21.460661685977907 21.460661685977907 21.335416564951338 21.335416564951338 21.046614929722068 21.046614929722068 21.046614929722068 21.046614929722068 19.985995096566995 20.701690752206687 20.924626639440906 21.122499852053497 21.8577217477028 22.023623680039577 22.240503591420765 22.240503591420765 22.240503591420765 22.240503591420765 22.297981971469973 22.297981971469973 22.297981971469973 22.238704998268222 23.44866733953126 23.874672772626646 24.028316628511455 24.08817137102773 24.375397432657383 24.35241261148472 24.355697485393435 24.40983408382777 24.019991673603887 24.182638400306942 24.260255563369487 24.260255563369487 23.220680437919988 22.833309002420126 22.44638055455712 21.673947494630507 21.288494545176274 21.181123671797963 21.484878403193257 21.646246787838304 21.81375712709757 22.166641603995856 22.166641603995856 22.588492645592797 23.79411691994473 25.242820761555155 25.435408390666737;208.59587723634425;"[[196,196,197,197,197,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,199,199,199,199,199,201,201,201,201,228,256,262,265,283,291,291,291,292,292,292,292,292,292,292,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,294,294,294,294,294,294,295,295,295,295,295,295,295,295,295,295,295,307,312,317,322,334,334,335,335,336,336,336,336,336,336,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,341,341,351,355,366,377,387,388,388,388,388,388,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,391,391,391,391,391,393,395,396,397,399,399,401,403,411,413],[238,238,239,239,240,240,240,240,240,240,240,240,240,240,241,241,241,241,241,241,241,241,241,241,241,244,244,244,253,254,256,259,270,271,271,272,272,272,273,273,273,273,273,273,273,273,273,273,273,273,273,273,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,276,276,276,276,276,287,289,299,304,309,310,310,310,311,311,311,311,311,311,311,317,317,317,317,317,317,317,317,317,317,317,317,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,321,329,333,343,349,356,356,356,357,357,357,357,357,357,357,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,359,359,359,359,359,359,359,359,359,359,360,361,361,361,369,371,373,375,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,379,385,388,389],[195,196,198,200,203,204,205,205,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,209,209,209,229,235,241,245,252,253,253,254,254,255,255,255,255,255,255,255,255,255,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,257,257,257,257,257,261,277,281,288,294,301,301,305,306,306,306,306,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,308,308,308,308,308,308,308,308,308,308,308,309,309,309,309,309,325,332,339,351,365,365,366,366,366,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,370,370,370,370,385,388,389,392,394,394,394,394,394,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,401,403,404],[205,205,206,206,206,206,206,206,206,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,210,210,210,210,215,222,225,231,238,238,238,239,239,239,239,239,239,239,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,243,243,243,243,251,252,261,265,278,279,279,280,280,280,280,280,280,280,280,280,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,282,282,282,282,282,282,282,282,282,282,282,291,294,298,311,324,325,325,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,328,328,328,328,331,332,333,335,336,337,337,337,337,337,337,337,338,339,340],[184,186,196,200,201,201,202,202,203,203,203,203,203,203,203,203,203,204,204,204,204,204,212,223,231,234,240,241,241,242,242,242,242,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,244,244,244,247,247,247,258,266,270,276,285,285,285,286,286,286,286,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,291,291,291,303,306,322,332,340,340,341,341,341,341,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,344,344,344,344,344,344,361,374,376,378,383,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,385,385,385,385,385,385,385,385,385,385,385,385,385,386,392,394,395]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;5;98;98;98;738.2;804;659;659 777 728 804 723;157.4 172 190.6 191.4 194.6 195.2 195.4 195.8 195.8 196.2 196.2 196.2 196.2 196.2 196.4 196.4 196.6 196.6 196.8 196.8 197 198 201.4 202.6 212.2 222.2 244.8 260.4 287.8 306 320.8 328 339 342 342.4 343 343 343.2 343.2 343.2 343.2 343.4 343.8 343.8 344 344 344.2 344.2 344.4 344.4 346.2 346.4 346.4 347.4 347.4 347.4 347.4 347.4 348 348 348 348.2 349.6 349.8 349.8 349.8 351 351.2 351.2 351.2 351.4 352.4 352.4 352.8 353.2 354.2 354.2 361 363 378 389 396.2 414.8 439.6 442.4 443.2 448.4 448.6 448.6 452.2 452.8 455 456 458.8 466.6 472 482.4 490.2;199 251 287 288 288 289 289 290 290 290 290 290 290 290 290 290 290 290 291 291 291 296 313 314 315 315 317 335 342 342 343 343 378 379 379 381 381 381 381 381 381 381 382 382 382 382 382 382 382 382 382 382 382 382 382 382 382 382 383 383 383 383 383 383 383 383 383 383 383 383 383 383 383 383 384 384 384 384 384 387 415 435 448 496 496 496 496 496 496 496 496 496 496 498 508 515 531 544;136 139 155 156 156 157 157 158 158 158 158 158 158 158 158 158 159 159 159 159 159 159 159 159 160 164 169 169 222 261 296 313 313 313 314 314 314 314 314 314 314 314 315 315 315 315 316 316 316 316 325 325 325 330 330 330 330 330 330 330 330 331 331 331 331 331 331 331 331 331 331 331 331 332 332 332 332 338 338 362 362 362 384 384 384 384 386 386 386 404 407 409 409 409 418 429 434 439;25.350345165302976 43.61192497471305 50.00239994240276 50.12225054803505 48.65223530322117 48.88517157584701 48.75079486531476 48.97917924996294 48.97917924996294 48.88517157584701 48.88517157584701 48.88517157584701 48.88517157584701 48.88517157584701 48.75079486531476 48.75079486531476 48.59464991128139 48.59464991128139 48.97917924996294 48.97917924996294 48.98571220264129 50.90775972285561 57.482519081891326 57.860521947179144 59.660372107455046 58.238818669337725 53.37564987894761 57.18251481003612 46.447389592957755 31.906112267087632 17.679366504487657 12.457929201917949 22.706827167175955 21.872356983187704 21.49046300106166 22.063544592834578 22.063544592834578 22.085289221561034 22.085289221561034 22.085289221561034 22.085289221561034 22.114248800264505 22.19369279772972 22.19369279772972 22.199099080818574 22.199099080818574 21.939917957914062 21.939917957914062 21.82292372712694 21.82292372712694 19.671298889498885 19.68349562450735 19.68349562450735 18.67190402717409 18.67190402717409 18.67190402717409 18.67190402717409 18.67190402717409 19.00526242912736 19.00526242912736 19.00526242912736 18.81913919391639 18.937792902025304 18.755265927200288 18.755265927200288 18.755265927200288 19.172897537930986 18.988417522268673 18.988417522268673 18.988417522268673 19.085072700935672 18.260339536821327 18.260339536821327 17.98221343439122 18.410866356584094 17.735839421916292 17.735839421916292 17.91089054179049 18.022208521710095 8.78635305459552 17.435595774162696 24.2932089275995 23.78570999570961 43.69256229611626 43.329435722150826 43.27770788754876 43.62384668962608 43.440073664762586 43.440073664762586 38.576676891614184 37.838604625435124 35.34968175245712 34.34530535604539 32.7865826215542 34.16196715647388 32.802438933713454 37.871361211342794 41.710430350213365;49.885468826102056;"[[199,251,287,288,288,289,289,290,290,290,290,290,290,290,290,290,290,290,291,291,291,296,313,314,315,315,317,335,337,338,339,339,341,345,345,345,345,346,346,346,346,347,347,347,347,347,347,347,347,347,347,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,349,349,349,349,377,382,387,398,407,408,408,408,408,408,409,409,409,409,409,409,409,418,429,434,439],[139,142,161,161,162,162,163,163,163,163,163,163,163,163,164,164,164,164,164,164,164,164,164,164,164,164,169,169,222,261,296,331,378,379,379,381,381,381,381,381,381,381,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,384,384,384,384,384,384,384,384,384,384,384,384,386,386,386,404,407,418,423,435,439,443,449,453],[136,139,155,156,156,157,157,158,158,158,158,158,158,158,158,158,159,159,159,159,159,159,159,159,160,166,206,234,255,279,314,314,320,329,330,331,331,331,331,331,331,331,331,331,331,331,331,331,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,333,333,333,333,334,334,334,334,339,339,339,339,344,344,344,349,381,415,435,448,496,496,496,496,496,496,496,496,496,496,498,508,515,531,544],[175,188,192,193,196,197,197,197,197,198,198,198,198,198,198,198,198,198,198,198,199,199,199,204,244,261,287,302,342,342,343,343,343,344,344,344,344,344,344,344,344,344,344,344,345,345,345,345,345,345,345,345,345,345,345,345,345,345,347,347,347,347,354,354,354,354,360,360,360,360,361,361,361,361,362,362,362,362,362,362,362,362,398,425,438,442,466,466,466,466,466,466,466,466,470,472,479,483],[138,140,158,159,171,171,171,171,171,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,178,205,245,262,283,310,312,313,313,313,314,314,314,314,314,314,314,314,315,315,315,315,316,316,316,316,325,325,325,330,330,330,330,330,330,330,330,331,331,331,331,331,331,331,331,331,331,331,331,332,332,332,332,338,338,376,386,393,436,485,486,486,486,486,486,486,486,486,486,486,498,501,519,532]]"
