name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;5;6;6;6;1185.8;1764;929;1764 1122 929 1115 999;447 447 447 447 953 953;755 755 755 755 1335 1335;330 330 330 330 788 788;156.28051701987678 156.28051701987678 156.28051701987678 156.28051701987678 195.74166648927869 195.74166648927869;298.07341377586835;"[[755,755,755,755,1335,1335],[362,362,362,362,864,864],[375,375,375,375,923,923],[413,413,413,413,855,855],[330,330,330,330,788,788]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;5;4;4;4;1142.4;1303;912;1132 1087 1278 912 1303;298.8 313.8 328.4 332;312 324 342 342;280 289 301 304;10.552724766618335 12.967652061957862 14.263239463740346 14.352700094407323;141.73298839719706;"[[304,318,342,342],[312,324,336,340],[300,324,330,341],[280,289,301,304],[298,314,333,333]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;5;1;1;1;1015.4;1250;883;975 1250 896 883 1073;280.8;294;273;8.280096617793781;135.47929731143427;"[[287],[294],[273],[276],[274]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;5;14;14;14;715.6;781;655;781 655 683 702 757;314.8 314.8 314.8 314.8 314.8 314.8 314.8 314.8 315.4 315.4 315.4 315.4 315.4 316.2;345 345 345 345 345 345 345 345 346 346 346 346 346 347;295 295 295 295 295 295 295 295 296 296 296 296 296 297;16.485144827995903 16.485144827995903 16.485144827995903 16.485144827995903 16.485144827995903 16.485144827995903 16.485144827995903 16.485144827995903 16.53602128687551 16.53602128687551 16.53602128687551 16.53602128687551 16.53602128687551 16.557777628655362;46.714451725349406;"[[345,345,345,345,345,345,345,345,346,346,346,346,346,347],[314,314,314,314,314,314,314,314,314,314,314,314,314,314],[295,295,295,295,295,295,295,295,296,296,296,296,296,297],[312,312,312,312,312,312,312,312,312,312,312,312,312,313],[308,308,308,308,308,308,308,308,309,309,309,309,309,310]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;5;8;8;8;916.4;950;853;930 914 853 950 935;379.8 379.8 379.8 379.8 383.6 383.6 383.6 383.6;402 402 402 402 408 408 408 408;337 337 337 337 340 340 340 340;26.026140705068048 26.026140705068048 26.026140705068048 26.026140705068048 26.985922255872598 26.985922255872598 26.985922255872598 26.985922255872598;33.72002372478406;"[[397,397,397,397,401,401,401,401],[402,402,402,402,405,405,405,405],[362,362,362,362,364,364,364,364],[337,337,337,337,340,340,340,340],[401,401,401,401,408,408,408,408]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;5;66;66;66;1363.4;1601;1179;1236 1387 1414 1601 1179;393.8 393.8 393.8 393.8 394.2 394.2 394.2 394.2 395 395 395 395 395.2 395.2 395.2 395.2 395.6 395.6 395.6 395.6 396 396 396 396 396.6 396.6 396.6 396.6 397.2 397.2 397.2 397.2 397.6 397.6 397.6 397.6 398.2 398.2 398.4 398.4 398.6 398.6 398.8 398.8 399 399 399 399 399.2 399.2 399.2 399.2 399.2 399.2 399.2 399.2 402.4 402.4 402.4 402.4 413.2 413.2 413.2 413.4 889 889.2;455 455 455 455 455 455 455 455 456 456 456 456 456 456 456 456 456 456 456 456 457 457 457 457 457 457 457 457 458 458 458 458 458 458 458 458 458 458 459 459 459 459 459 459 459 459 459 459 459 459 459 459 459 459 459 459 459 459 459 459 467 467 467 468 971 971;357 357 357 357 357 357 357 357 358 358 358 358 358 358 358 358 359 359 359 359 359 359 359 359 360 360 360 360 360 360 360 360 360 360 360 360 363 363 363 363 363 363 363 363 363 363 363 363 364 364 364 364 364 364 364 364 368 368 368 368 376 376 376 376 769 769;34.03174988154444 34.03174988154444 34.03174988154444 34.03174988154444 34.04350158253408 34.04350158253408 34.04350158253408 34.04350158253408 34.017642481512446 34.017642481512446 34.017642481512446 34.017642481512446 34.04350158253408 34.04350158253408 34.04350158253408 34.04350158253408 33.814789663695976 33.814789663695976 33.814789663695976 33.814789663695976 34.017642481512446 34.017642481512446 34.017642481512446 34.017642481512446 33.814789663695976 33.814789663695976 33.814789663695976 33.814789663695976 34.16079624364748 34.16079624364748 34.16079624364748 34.16079624364748 34.18537699075439 34.18537699075439 34.18537699075439 34.18537699075439 33.540423372402444 33.540423372402444 33.89749253263433 33.89749253263433 33.73188402683728 33.73188402683728 33.730698184294965 33.730698184294965 33.75203697556638 33.75203697556638 33.75203697556638 33.75203697556638 33.540423372402444 33.540423372402444 33.540423372402444 33.540423372402444 33.540423372402444 33.540423372402444 33.540423372402444 33.540423372402444 32.122266420662164 32.122266420662164 32.122266420662164 32.122266420662164 32.089873792210525 32.089873792210525 32.089873792210525 32.425915561476444 73.84578525549037 73.73031940796135;148.19257741196083;"[[391,391,391,391,392,392,392,392,393,393,393,393,393,393,393,393,394,394,394,394,394,394,394,394,395,395,395,395,397,397,397,397,398,398,398,398,398,398,398,398,398,398,399,399,399,399,399,399,399,399,399,399,399,399,399,399,403,403,403,403,417,417,417,417,952,952],[398,398,398,398,399,399,399,399,399,399,399,399,400,400,400,400,400,400,400,400,400,400,400,400,401,401,401,401,401,401,401,401,402,402,402,402,402,402,402,402,402,402,402,402,403,403,403,403,403,403,403,403,403,403,403,403,407,407,407,407,421,421,421,421,769,769],[368,368,368,368,368,368,368,368,369,369,369,369,369,369,369,369,369,369,369,369,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,375,375,375,375,385,385,385,385,907,907],[455,455,455,455,455,455,455,455,456,456,456,456,456,456,456,456,456,456,456,456,457,457,457,457,457,457,457,457,458,458,458,458,458,458,458,458,458,458,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,467,467,467,468,846,847],[357,357,357,357,357,357,357,357,358,358,358,358,358,358,358,358,359,359,359,359,359,359,359,359,360,360,360,360,360,360,360,360,360,360,360,360,363,363,363,363,363,363,363,363,363,363,363,363,364,364,364,364,364,364,364,364,368,368,368,368,376,376,376,376,971,971]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;5;46;46;46;918.4;1084;826;868 846 826 1084 968;287 303.4 317.8 333 392.2 402.2 402.2 418.6 418.6 418.6 434.4 453 463.8 475.4 488 501.8 516.2 530 543.6 543.8 559 571.2 585.6 601 601 615 615 634.8 653.8 654 654 654 654.6 658.2 669.2 669.4 680.6 697 697.2 697.2 716.2 716.4 716.4 724.4 738.4 754.2;310 333 347 367 441 459 459 474 474 474 499 508 521 535 555 572 589 607 624 624 641 659 676 693 693 709 709 731 759 759 759 759 759 761 780 781 797 816 816 816 838 838 838 850 865 889;274 286 299 313 365 379 379 396 396 396 407 423 435 453 464 476 491 500 514 514 527 540 552 567 567 580 580 594 614 615 615 615 616 619 629 629 635 650 650 650 663 664 664 675 694 707;12.617448236470002 16.426807358704856 16.314410807626487 18.793615937333612 29.11631844859511 30.818176454813155 30.818176454813155 29.472699231661835 29.472699231661835 29.472699231661835 34.966269460724575 33.769809001532714 32.50476888088885 31.30878470972644 34.61213659975356 36.5644636224846 37.45076768238537 40 41.72577141288103 41.73439828247198 42.600469480981076 45.327254494398844 46.906715937059595 47.678087209954214 47.678087209954214 48.46854650182941 48.46854650182941 50.009599078576905 53.35691145484341 53.2090217914218 53.2090217914218 53.2090217914218 52.92485238524525 52.60950484465711 56.98210245331423 57.37107285034855 60.53296622502486 62.39551265916484 62.41602358369203 62.41602358369203 65.58780374429381 65.42660009506837 65.42660009506837 66.1592019298903 66.01090818948032 69.8610048596497;96.12824766945458;"[[282,297,316,328,380,383,383,396,396,396,407,428,442,454,466,479,491,503,517,517,530,543,558,573,573,587,587,597,629,629,629,629,630,630,641,641,646,655,655,655,670,670,670,682,694,711],[279,293,307,320,366,379,379,398,398,398,410,423,435,456,467,476,493,500,514,514,527,540,552,567,567,580,580,625,625,625,625,625,625,628,629,629,635,650,650,650,663,664,664,675,695,708],[274,286,299,313,365,379,379,401,401,401,412,429,442,453,464,478,493,509,518,518,537,543,555,570,570,585,585,594,614,615,615,615,616,619,630,630,642,661,661,661,678,678,678,682,695,707],[310,333,347,367,441,459,459,474,474,474,499,508,521,535,555,572,589,607,624,624,641,659,676,693,693,709,709,731,759,759,759,759,759,761,780,781,797,816,816,816,838,838,838,850,865,889],[290,308,320,337,409,411,411,424,424,424,444,477,479,479,488,504,515,531,545,546,560,571,587,602,602,614,614,627,642,642,642,642,643,653,666,666,683,703,704,704,732,732,732,733,743,756]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;5;32;32;32;826.4;928;781;794 781 787 928 842;282.6 360.2 368.2 378.6 396 396 413.6 413.8 413.8 414 423.2 436.4 449.2 462 476.8 490.6 508.8 522.2 532.2 547 559.4 572.2 586.4 598.6 612 627.2 640.6 656.6 656.8 670 682.2 696.2;297 379 394 410 427 427 447 447 447 447 460 473 489 504 520 535 558 581 584 595 612 626 647 659 675 692 707 724 724 739 755 771;271 348 354 363 381 381 395 395 395 396 402 417 427 439 455 470 478 492 506 520 536 546 561 571 584 596 608 620 620 636 650 662;10.09158064923429 12.12270596855339 15.72768260107 17.984437717093076 17.798876369029593 17.798876369029593 19.32459572668986 19.1666376811375 19.1666376811375 18.973665961010276 20.88444397153058 21.832086478392302 23.28432949431871 24.17436658942691 25.007198963498492 25.152335875619983 31.858436873142413 33.576182034293296 29.935931587308254 26.899814125751874 28.86936092122581 29.808723555362114 33.115555257310724 33.42813186524189 35.07135583350036 36.01888393606887 37.43046887229708 39.49987341751869 39.37207131965501 39.2071422064909 40.89205301767081 41.71043035021336;55.18912936439567;"[[278,353,358,370,385,385,405,405,405,405,412,423,436,448,462,476,490,504,513,533,542,555,565,577,587,604,614,629,629,639,652,666],[275,351,354,363,382,382,398,399,399,399,410,419,432,445,457,470,483,496,510,530,538,551,562,571,584,603,617,631,632,648,654,669],[271,348,356,363,381,381,395,395,395,396,402,417,427,439,455,470,478,492,506,520,536,546,561,575,588,596,608,620,620,636,650,662],[297,379,394,410,427,427,447,447,447,447,460,473,489,504,520,535,558,581,584,595,612,626,647,659,675,692,707,724,724,739,755,771],[292,370,379,387,405,405,423,423,423,423,432,450,462,474,490,502,535,538,548,557,569,583,597,611,626,641,657,679,679,688,700,713]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;5;198;198;198;1098.2;1241;992;1027 1229 1002 992 1241;377.6 377.6 377.6 378 378.2 379 379.2 379.2 380.4 380.4 380.4 380.4 385.2 443.6 484.4 484.8 484.8 485 485.4 485.4 485.4 485.4 486 486 486 486.2 486.4 486.4 486.4 486.6 487.2 487.2 487.2 487.2 487.6 487.6 487.6 487.8 489.8 489.8 489.8 489.8 492.6 492.6 492.6 492.8 493.2 493.2 493.2 493.2 494.8 494.8 494.8 495 496.4 496.4 496.4 497.8 498 498 498 499.2 499.4 499.4 499.6 500 500 500 500 502 503.8 503.8 503.8 503.8 504.4 504.4 504.4 504.4 505.4 505.4 505.6 505.8 513 513 513 513 513.2 513.2 513.2 513.2 516.6 525.6 525.6 526 531 531.2 531.2 531.6 533.2 534.4 534.4 540.4 562.6 563 563 563 563.2 563.4 563.4 563.4 563.8 563.8 563.8 563.8 564 564.2 564.2 564.2 564.6 564.6 564.6 564.8 566.8 566.8 566.8 566.8 566.8 566.8 566.8 566.8 567 567 567.2 567.2 567.2 567.2 567.2 567.2 567.2 567.2 567.2 567.2 567.6 567.8 567.8 567.8 567.8 567.8 568 568 568 568 568 568 568.2 568.2 568.2 568.2 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 568.6 569 569.2 569.2 569.2 569.2 569.2 569.2 569.2 569.2 569.2 569.2 569.2 569.2 569.2 569.4 569.4 569.6 569.6 569.6 569.6 569.8 569.8;514 514 514 514 514 514 514 514 517 517 517 517 526 532 534 534 534 534 536 536 536 536 537 537 537 537 537 537 537 537 538 538 538 538 538 538 538 538 539 539 539 539 539 539 539 539 540 540 540 540 540 540 540 540 541 541 541 541 541 541 541 541 541 541 541 542 542 542 542 542 542 542 542 542 543 543 543 543 543 543 543 543 543 543 543 543 543 543 543 543 544 545 545 545 545 546 546 546 551 552 552 573 620 620 620 620 621 621 621 621 621 621 621 621 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 622 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 623 624 624 624 624 624 624 624 624 624 624 624 624 624 624 625 625 625 625 625 625 625 625;307 307 307 308 308 309 309 309 309 309 309 309 309 334 435 436 436 436 436 436 436 436 437 437 437 437 437 437 437 437 438 438 438 438 439 439 439 439 439 439 439 439 440 440 440 440 441 441 441 441 447 447 447 447 452 452 452 459 459 459 459 464 464 464 464 465 465 465 465 471 471 471 471 471 472 472 472 472 476 476 477 477 484 484 484 484 484 484 484 484 486 486 486 486 510 510 510 511 511 511 511 511 512 512 512 512 512 512 512 512 513 513 513 513 513 513 513 513 514 514 514 514 514 514 514 514 514 514 514 514 514 514 515 515 515 515 515 515 515 515 515 515 515 516 516 516 516 516 516 516 516 516 516 516 517 517 517 517 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518 518;75.5634832442232 75.5634832442232 75.5634832442232 75.24892025803426 75.13294883072273 74.56808968989348 74.44568489845466 74.44568489845466 75.73532861221372 75.73532861221372 75.73532861221372 75.73532861221372 80.15834329625332 75.69834872703632 42.240265150682944 41.811003336442425 41.811003336442425 42.03807797699605 42.50929310162662 42.50929310162662 42.50929310162662 42.50929310162662 42.48293775152561 42.48293775152561 42.48293775152561 42.70550315825819 42.50929310162662 42.50929310162662 42.50929310162662 42.73452936443784 42.70550315825819 42.70550315825819 42.70550315825819 42.70550315825819 42.278126732389644 42.278126732389644 42.278126732389644 42.503646902354156 41.21844247421293 41.21844247421293 41.21844247421293 41.21844247421293 38.96973184408638 38.96973184408638 38.96973184408638 39.19387707282861 39.1632480777578 39.1632480777578 39.1632480777578 39.1632480777578 37.39197774924456 37.39197774924456 37.39197774924456 37.61914406256474 36.466971357654586 36.466971357654586 36.466971357654586 34.83331738436637 34.66987164671943 34.66987164671943 34.66987164671943 33.819520990102745 33.72002372478406 33.72002372478406 33.54757815401881 33.58571124749333 33.58571124749333 33.58571124749333 33.58571124749333 32.09361307176243 30.694624936623672 30.694624936623672 30.694624936623672 30.694624936623672 30.59803915286076 30.59803915286076 30.59803915286076 30.59803915286076 29.635114307186335 29.635114307186335 29.43874997346185 29.674231245307773 25.729360660537214 25.729360660537214 25.729360660537214 25.729360660537214 25.51391777050322 25.51391777050322 25.51391777050322 25.51391777050322 22.712111306525422 23.260266550493355 23.260266550493355 23.53720459187964 15.962455951387932 16.14187101918486 16.14187101918486 15.653753543479594 16.737980762326142 17.79438113562818 17.79438113562818 23.745315327449326 46.637324108486325 46.553195379049974 46.553195379049974 46.553195379049974 46.79914529134053 46.76152264415692 46.76152264415692 46.76152264415692 46.760667232194194 46.760667232194194 46.760667232194194 46.760667232194194 47.00638254535228 46.969777517037485 46.969777517037485 46.969777517037485 46.542883451715795 46.542883451715795 46.542883451715795 46.507633781993256 44.539420741630664 44.539420741630664 44.539420741630664 44.539420741630664 44.539420741630664 44.539420741630664 44.539420741630664 44.539420741630664 44.35763744835831 44.35763744835831 44.11983680840173 44.11983680840173 44.11983680840173 44.11983680840173 44.11983680840173 44.11983680840173 44.11983680840173 44.11983680840173 44.11983680840173 44.11983680840173 44.188686334852726 43.95179177234985 43.95179177234985 43.95179177234985 43.95179177234985 43.95179177234985 43.90444168874033 43.90444168874033 43.90444168874033 43.90444168874033 43.90444168874033 43.90444168874033 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.65134591281236 43.71727347399423 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.66875313081425 43.92083787907512 43.92083787907512 43.73831272465823 43.73831272465823 43.73831272465823 43.73831272465823 43.95179177234985 43.95179177234985;112.34126579311807;"[[404,404,404,404,404,404,404,404,407,407,407,407,422,422,435,436,436,436,436,436,436,436,437,437,437,437,437,437,437,437,438,438,438,438,439,439,439,439,439,439,439,439,440,440,440,440,441,441,441,441,447,447,447,447,452,452,452,459,459,459,459,464,464,464,464,465,465,465,465,474,483,483,483,483,484,484,484,484,484,484,484,484,485,485,485,485,486,486,486,486,486,486,486,486,510,510,510,511,511,511,511,511,512,512,512,512,512,512,512,512,513,513,513,513,513,513,513,513,514,514,514,514,514,514,514,514,514,514,514,514,514,514,515,515,515,515,515,515,515,515,515,515,515,516,516,516,516,516,516,516,516,516,516,516,517,517,517,517,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518],[514,514,514,514,514,514,514,514,517,517,517,517,526,526,534,534,534,534,536,536,536,536,537,537,537,537,537,537,537,537,538,538,538,538,538,538,538,538,539,539,539,539,539,539,539,539,540,540,540,540,540,540,540,540,541,541,541,541,541,541,541,541,541,541,541,542,542,542,542,542,542,542,542,542,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,544,544,544,544,544,544,544,544,551,551,551,551,620,620,620,620,621,621,621,621,621,621,621,621,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,624,624,624,624,624,624,624,624,624,624,624,624,624,624,625,625,625,625,625,625,625,625],[307,307,307,308,308,309,309,309,309,309,309,309,309,404,443,444,444,444,444,444,444,444,444,444,444,444,445,445,445,445,445,445,445,445,446,446,446,446,454,454,454,454,467,467,467,467,467,467,467,467,468,468,468,468,469,469,469,469,470,470,470,470,470,470,471,471,471,471,471,471,471,471,471,471,472,472,472,472,476,476,477,477,512,512,512,512,512,512,512,512,512,512,512,512,513,513,513,514,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,516,516,516,516,526,526,526,526,526,526,526,526,527,527,527,527,527,527,527,527,527,527,527,527,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,530,530,530,530,530,530],[329,329,329,330,330,333,334,334,334,334,334,334,334,334,478,478,478,478,478,478,478,478,479,479,479,479,479,479,479,479,480,480,480,480,480,480,480,480,481,481,481,481,481,481,481,481,481,481,481,481,482,482,482,482,482,482,482,482,482,482,482,482,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,484,484,484,484,484,484,484,484,484,484,484,484,500,545,545,545,545,546,546,546,546,552,552,552,552,554,554,554,554,555,555,555,555,555,555,555,555,556,556,556,556,556,556,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559],[334,334,334,334,335,335,335,335,335,335,335,335,335,532,532,532,532,533,533,533,533,533,533,533,533,534,534,534,534,535,535,535,535,535,535,535,535,536,536,536,536,536,536,536,536,537,537,537,537,537,537,537,537,538,538,538,538,538,538,538,538,539,539,539,539,539,539,539,539,540,540,540,540,540,540,540,540,540,540,540,540,541,541,541,541,541,541,541,541,541,541,541,541,543,543,543,543,543,543,543,543,573,614,614,614,614,614,614,614,614,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,617,617]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;5;98;98;98;1365.8;1434;1247;1405 1434 1385 1247 1358;387.8 387.8 387.8 387.8 389.2 389.4 389.4 389.6 390.2 390.2 390.2 390.2 390.4 390.4 390.4 390.4 391.4 391.4 391.4 391.4 391.4 391.4 391.4 391.4 391.8 391.8 392 392 392.4 392.4 392.4 392.4 393.2 393.2 393.2 393.2 394.4 394.4 394.4 394.4 394.8 394.8 394.8 394.8 395.2 395.2 395.2 395.2 395.4 395.4 395.4 395.4 396 396 396 396 396.2 396.2 396.2 396.2 396.2 396.2 396.2 396.2 396.8 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397.2 397.2 397.2 397.2 397.4 412.8 413 413 413 558.6 558.6 558.6 558.6 559.6 559.6 559.6 559.6 563.8 563.8;410 410 410 410 417 417 417 417 418 418 418 418 418 418 418 418 419 419 419 419 419 419 419 419 419 419 420 420 420 420 420 420 421 421 421 421 424 424 424 424 424 424 424 424 424 424 424 424 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 438 438 438 438 640 640 640 640 640 640 640 640 644 644;374 374 374 374 374 375 375 375 375 375 375 375 376 376 376 376 377 377 377 377 377 377 377 377 377 377 377 377 378 378 378 378 379 379 379 379 379 379 379 379 379 379 379 379 380 380 380 380 380 380 380 380 380 380 380 380 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 382 382 382 382 382 399 400 400 400 506 506 506 506 506 506 506 506 510 510;14.034243834279065 14.034243834279065 14.034243834279065 14.034243834279065 16.33891061240008 16.156732342896568 16.156732342896568 15.982490419205636 16.33891061240008 16.33891061240008 16.33891061240008 16.33891061240008 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.092234151913154 16.092234151913154 16.431676725154983 16.431676725154983 16.156732342896568 16.156732342896568 16.156732342896568 16.156732342896568 16.252999723128035 16.252999723128035 16.252999723128035 16.252999723128035 17.613631085043195 17.613631085043195 17.613631085043195 17.613631085043195 17.33666634621547 17.33666634621547 17.33666634621547 17.33666634621547 17.27888885316414 17.27888885316414 17.27888885316414 17.27888885316414 17.613631085043195 17.613631085043195 17.613631085043195 17.613631085043195 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.27888885316414 17.27888885316414 17.27888885316414 17.27888885316414 17.27888885316414 17.27888885316414 17.27888885316414 17.27888885316414 17.33666634621547 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.458522274236156 17.27888885316414 17.27888885316414 17.27888885316414 17.27888885316414 17.10672382427448 14.579437574886077 14.394443372357264 14.394443372357264 14.394443372357264 46.9834013242975 46.9834013242975 46.9834013242975 46.9834013242975 47.07695827047453 47.07695827047453 47.07695827047453 47.07695827047453 46.90586317295525 46.90586317295525;64.39068255578597;"[[375,375,375,375,375,375,375,376,376,376,376,376,376,376,376,376,377,377,377,377,377,377,377,377,378,378,378,378,378,378,378,378,379,379,379,379,379,379,379,379,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,382,382,382,382,382,399,400,400,400,640,640,640,640,640,640,640,640,644,644],[398,398,398,398,398,398,398,398,399,399,399,399,399,399,399,399,400,400,400,400,400,400,400,400,401,401,401,401,401,401,401,401,402,402,402,402,405,405,405,405,405,405,405,405,406,406,406,406,406,406,406,406,407,407,407,407,407,407,407,407,407,407,407,407,407,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,420,420,420,420,561,561,561,561,566,566,566,566,570,570],[382,382,382,382,382,382,382,382,383,383,383,383,383,383,383,383,384,384,384,384,384,384,384,384,384,384,384,384,385,385,385,385,385,385,385,385,385,385,385,385,386,386,386,386,386,386,386,386,386,386,386,386,387,387,387,387,387,387,387,387,387,387,387,387,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,406,406,406,406,506,506,506,506,506,506,506,506,510,510],[410,410,410,410,417,417,417,417,418,418,418,418,418,418,418,418,419,419,419,419,419,419,419,419,419,419,420,420,420,420,420,420,421,421,421,421,424,424,424,424,424,424,424,424,424,424,424,424,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,438,438,438,438,567,567,567,567,567,567,567,567,571,571],[374,374,374,374,374,375,375,375,375,375,375,375,376,376,376,376,377,377,377,377,377,377,377,377,377,377,377,377,378,378,378,378,379,379,379,379,379,379,379,379,379,379,379,379,380,380,380,380,380,380,380,380,381,381,381,381,381,381,381,381,381,381,381,381,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,383,401,401,401,401,519,519,519,519,519,519,519,519,524,524]]"
